"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","의자수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","침대수","다중이용업소여부",
"1","이용업","05_19_01_P","3150000","3150000-203-2025-00011","2025-12-31","","01","영업/정상","01","영업","","","","","","34.02","157-210","서울특별시 강서구 마곡동 757 두산더랜드파크","서울특별시 강서구 마곡중앙로 161-8, 두산더랜드파크 A동 2층 212호 (마곡동)","07788","로던바버샵","2025-12-31 10:39:42","I","2026-01-03 00:20:02","일반이용업","184655.264279055","451864.298152252","일반이용업","0","0","0","0","0","0","2","","","","","0","0","0","N",
"2","이용업","05_19_01_P","4211000","4211000-203-2025-00002","2025-12-31","","01","영업/정상","01","영업","","","","","","32.09","","강원특별자치도 동해시 천곡동 986-1 현대원룸","강원특별자치도 동해시 감추4길 8, 1층 (천곡동, 현대원룸)","25777","VIP이용원","2025-12-31 13:02:20","I","2026-01-03 00:20:02","일반이용업","387357.945256583","448034.808633063","일반이용업","0","0","1","0","0","0","2","","","","임대","0","0","0","N",
"3","이용업","05_19_01_P","5370000","5370000-203-2025-00007","2025-12-31","","01","영업/정상","01","영업","","","","","","37.90","656-900","경상남도 거제시 능포동 711-1 문화빌딩","경상남도 거제시 능포로 115, 문화빌딩 105호 (능포동)","53316","평화이용원","2025-12-31 09:49:56","I","2026-01-03 00:20:02","일반이용업","358174.503926471","154194.772220418","일반이용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
"4","이용업","05_19_01_P","3380000","3380000-203-2025-00005","2025-12-31","","01","영업/정상","01","영업","","","","","","30.47","613-806","부산광역시 수영구 광안동 334-10","부산광역시 수영구 수영로 513, 1층 (광안동)","48264","큐사랑 금련산역점","2025-12-31 10:02:14","I","2026-01-03 00:20:02","일반이용업","392318.938254499","185663.833543042","일반이용업","0","0","0","0","0","0","2","","","","","0","0","0","N",
"5","이용업","05_19_01_P","4201000","4201000-203-2025-00003","2025-12-31","","01","영업/정상","01","영업","","","","","","105.85","","강원특별자치도 강릉시 노암동 664-1","강원특별자치도 강릉시 남부로 147, 2층 (노암동)","25594","살롱드라라헤어맨즈","2025-12-31 09:28:10","I","2026-01-03 00:20:02","일반이용업","367112.171607605","472892.750835418","일반이용업","2","0","2","2","0","0","6","","","","","0","0","0","N",
"6","이용업","05_19_01_P","3420000","3420000-203-2009-00002","2009-04-15","","03","폐업","02","폐업","2025-12-31","","","","053 941 4956","20.00","701-817","대구광역시 동구 신암동 1298-93","대구광역시 동구 신암로14길 6-1 (신암동)","41205","협동이용소","2025-12-31 17:18:28","U","2026-01-03 02:40:00","일반이용업","345186.63662186","265323.307228255","일반이용업","0","0","0","0","0","0","2","","","","","0","0","0","N",
"7","이용업","05_19_01_P","5670000","5670156-203-1992-00007","1992-06-02","","03","폐업","02","폐업","2025-12-30","","","","055 222 6696","0.00","631-170","경상남도 창원시 마산합포구 신월동 18-33","경상남도 창원시 마산합포구 고운로 116 (신월동)","51761","경남","2025-12-31 13:42:46","U","2026-01-03 02:40:00","일반이용업","342049.092633546","189228.818887769","일반이용업","0","0","0","0","0","0","3","","","","","0","0","0","N",
"8","이용업","05_19_01_P","3380000","3380000-203-2019-00001","2019-03-12","","01","영업/정상","01","영업","","","","","","24.05","613-831","부산광역시 수영구 수영동 459-10","부산광역시 수영구 망미번영로52번길 39, 1층 (수영동)","48231","빅가이(BigGuy)","2025-12-31 10:43:11","U","2026-01-03 02:40:00","일반이용업","392209.136563234","187802.985873723","일반이용업","0","0","1","1","0","0","1","","","","","0","0","0","N",
"9","이용업","05_19_01_P","4990000","4990000-203-1977-00004","1977-10-08","","03","폐업","02","폐업","2025-12-31","","","","061 5537444","20.00","537-831","전라남도 완도군 소안면 비자리 1227-3","전라남도 완도군 소안면 비자2길 31","59165","중앙","2025-12-31 13:38:59","U","2026-01-03 02:40:00","일반이용업","167713.079725159","75208.5197130962","일반이용업","1","0","1","0","0","0","2","","","","","0","0","0","N",
"10","이용업","05_19_01_P","5080000","5080000-203-2022-00002","2022-02-03","","01","영업/정상","01","영업","","","","","","28.90","730-901","경상북도 구미시 공단동 111 금오공고 지하1층","경상북도 구미시 구미대로30길 59, 금오공고 지하1층 (공단동)","39248","금오공고구내이용소","2025-12-31 13:10:06","U","2026-01-03 02:40:00","일반이용업","323151.622319178","291832.684066021","일반이용업","0","0","0","0","0","0","2","공유재산 사용 계약기간","20220203","20260531","","0","0","0","N",
"11","이용업","05_19_01_P","3680000","3680000-203-2013-00003","2013-10-08","","01","영업/정상","01","영업","","","","","042 637 7387","17.05","306-813","대전광역시 대덕구 송촌동 460-2","대전광역시 대덕구 동춘당로94번길 11-27, 106호 (송촌동)","34401","머리염색","2025-12-31 09:16:41","U","2026-01-03 02:40:00","일반이용업","239322.112997468","318485.675068778","일반이용업","0","0","1","1","0","0","2","","","","임대","1","0","0","N",
"12","이용업","05_19_01_P","5400000","5400000-203-1977-00003","1977-10-31","","01","영업/정상","01","영업","","","","","055 5844478","6.25","637-802","경상남도 함안군 가야읍 검암리 1003-11","경상남도 함안군 가야읍 가야19길 11","52039","영광이용원","2025-12-31 14:32:26","U","2026-01-03 02:40:00","일반이용업","328619.203338057","198585.410419703","일반이용업","4","1","0","","1","","0","","","","","","","","N",
"13","이용업","05_19_01_P","3530000","3530000-203-1973-00002","1973-05-10","","03","폐업","02","폐업","2025-12-31","","","","","0.00","405-850","인천광역시 남동구 논현동 560-8 1층 상가","인천광역시 남동구 논곡로91번길 5-4 (논현동,1층 상가)","21636","논현이발관","2025-12-31 13:40:51","U","2026-01-03 02:40:00","일반이용업","174523.544807521","434654.301059696","일반이용업","1","0","1","1","0","0","3","","","","임대","0","0","0","N",
"14","이용업","05_19_01_P","5410000","5410000-203-2021-00002","2021-11-16","","03","폐업","02","폐업","2025-12-31","","","","","5.76","635-813","경상남도 창녕군 창녕읍 말흘리 404-5 목욕탕","경상남도 창녕군 창녕읍 화왕산로 157-7, 목욕탕 3층","50334","킹이용원","2025-12-31 11:42:33","U","2026-01-03 02:40:00","일반이용업","336494.626716888","226859.178171693","일반이용업","0","0","0","0","0","0","1","","","","","0","0","0","N",
"15","이용업","05_19_01_P","5670000","5670156-203-2025-00002","2025-12-01","","01","영업/정상","01","영업","","","","","","39.84","631-270","경상남도 창원시 마산합포구 현동 418","경상남도 창원시 마산합포구 현동7길 18, 1층 (현동)","51778","리화 바버샵","2025-12-31 14:08:59","U","2026-01-03 02:40:00","일반이용업","341534.435642188","184410.159714109","일반이용업","0","0","1","1","0","0","1","","","","","0","1","0","N",
"16","이용업","05_19_01_P","3180000","3180000-203-2022-00011","2022-12-13","","03","폐업","02","폐업","2025-12-31","","","","","91.00","150-096","서울특별시 영등포구 문래동6가 56-1 미주프라자아파트 202호","서울특별시 영등포구 선유로 49, 2층 202호 (문래동6가, 미주프라자아파트)","07281","버터 문래 바버샵","2025-12-31 16:04:05","U","2026-01-03 02:40:00","일반이용업","190089.042392341","446237.835338274","일반이용업","0","0","2","0","0","0","4","","","","임대","0","0","0","N",
"17","이용업","05_19_01_P","5540000","5540000-203-2004-00008","2004-12-10","","03","폐업","02","폐업","2025-12-31","","","","031 726 7117","10.00","","경기도 광주시 능평동 366-1","경기도 광주시 대명대길 18-17","12772","중앙 스파월드 사우나 이용원","2025-12-31 11:07:30","U","2026-01-03 02:40:00","일반이용업","214887.991355576","428338.515771347","일반이용업","0","0","2","2","0","0","3","","","","임대","0","1","0","N",
"18","이용업","05_19_01_P","3600000","3600000-203-2026-00001","2026-01-02","","01","영업/정상","01","영업","","","","","0623524677","118.48","502-834","광주광역시 서구 화정동 23-191 광주화정2차 골드클래스 106~107호","광주광역시 서구 내방로353번길 9, 106~107호 (화정동, 광주화정2차 골드클래스)","61938","베이코헤어,헤드스파 화정점(Baycohair head spa)","2026-01-02 11:02:03","I","2026-01-04 00:20:12","일반이용업","188879.020544395","184341.554257417","일반이용업","0","0","0","0","0","0","6","","","","자가","0","0","0","N",
"19","이용업","05_19_01_P","3700000","3700000-203-2026-00001","2026-01-02","","01","영업/정상","01","영업","","","","","","0.00","680-805","울산광역시 남구 달동 1366-12","울산광역시 남구 왕생로62번길 15-1, 2층 (달동)","44707","아이덴티티","2026-01-02 14:44:59","I","2026-01-04 00:20:12","이용업 기타","411573.562026204","229141.191735493","이용업 기타","0","0","1","1","0","0","2","","","","","0","0","2","N",
"20","이용업","05_19_01_P","5080000","5080000-203-2026-00001","2026-01-02","","01","영업/정상","01","영업","","","","","","0.00","730-908","경상북도 구미시 도량동 112 한빛타운 1층 상가A동 108호","경상북도 구미시 송동로 117, 한빛타운 상가A동 1층 108호 (도량동)","39200","삼봉이용소","2026-01-02 14:46:09","I","2026-01-04 00:20:12","일반이용업","318914.279989532","294361.342062562","일반이용업","0","0","0","0","0","0","2","","","","","0","0","0","N",
"21","이용업","05_19_01_P","5120000","5120000-203-2026-00001","2026-01-02","","01","영업/정상","01","영업","","","","","","33.00","745-883","경상북도 문경시 모전동 873-15","경상북도 문경시 매봉로 16 (모전동)","36983","청춘이용실","2026-01-02 16:38:53","I","2026-01-04 00:20:12","일반이용업","305712.258123853","343415.51923504","일반이용업","0","0","1","0","0","0","2","","","","","0","1","0","N",
"22","이용업","05_19_01_P","3200000","3200000-203-2026-00001","2026-01-02","","01","영업/정상","01","영업","","","","","","43.68","151-803","서울특별시 관악구 봉천동 1-783","서울특별시 관악구 청림5길 87, 3층 (봉천동)","08731","큐사랑 봉천고개점","2026-01-02 09:47:47","I","2026-01-04 00:20:12","일반이용업","196353.9601235","443284.530613553","일반이용업","0","0","0","0","0","0","2","","","","","0","0","0","N",
"23","이용업","05_19_01_P","3380000","3380000-203-2026-00001","2026-01-02","","01","영업/정상","01","영업","","","","","","22.40","613-814","부산광역시 수영구 남천동 22-46","부산광역시 수영구 수영로394번길 23, 1층 일부호 (남천동)","48308","드라이빌 바버샵","2026-01-02 12:07:47","I","2026-01-04 00:20:12","일반이용업","392094.995384313","184459.457881978","일반이용업","0","0","0","0","0","0","2","","","","","0","0","0","N",
"24","이용업","05_19_01_P","3680000","3680000-203-1978-00003","1978-05-31","","01","영업/정상","01","영업","","","","","042 8228926","18.00","306-825","대전광역시 대덕구 중리동 155-16","대전광역시 대덕구 중리동로 50, 1층 (중리동)","34390","뉴신광이용원","2026-01-02 15:52:38","I","2026-01-04 00:20:12","일반이용업","238447.981370934","318170.179803378","일반이용업","0","0","0","0","0","0","3","","","","","0","0","0","N",
"25","이용업","05_19_01_P","3150000","3150000-203-2026-00001","2026-01-02","","01","영업/정상","01","영업","","","","","","44.40","157-210","서울특별시 강서구 마곡동 798-6 류마타워Ⅱ","서울특별시 강서구 마곡중앙로 59-17, 류마타워Ⅱ 2층 213호 (마곡동)","07807","커넥트 바버샵","2026-01-02 15:16:09","I","2026-01-04 00:20:12","일반이용업","184448.542296683","450753.13459287","일반이용업","0","0","0","0","0","0","2","","","","","0","0","0","N",
"26","이용업","05_19_01_P","5530000","5530000-203-2026-00001","2026-01-02","","01","영업/정상","01","영업","","","","","","31.16","445-160","경기도 화성시 반송동 69-12","경기도 화성시 동탄공원로1길 8-3, 1층 일부(101호)호 (반송동)","18436","블릭맨바버샵 BLICK MAN BARBERSHOP","2026-01-02 14:26:16","I","2026-01-04 00:20:12","일반이용업","205261.032891945","411127.161003783","일반이용업","0","0","1","1","0","0","0","","","","","0","0","0","N",
"27","이용업","05_19_01_P","3450000","3450000-203-2026-00001","2026-01-02","","01","영업/정상","01","영업","","","","","","42.00","702-865","대구광역시 북구 태전동 420-5 강북 화성파크드림","대구광역시 북구 칠곡중앙대로 312, 107동 2층 203호 (태전동, 강북 화성파크드림)","41462","신나라이발소","2026-01-02 11:16:18","I","2026-01-04 00:20:12","일반이용업","339616.137944429","270352.153977546","일반이용업","0","0","2","2","0","0","1","","","","","0","0","0","N",
"28","이용업","05_19_01_P","3110000","3110000-203-2026-00001","2026-01-02","","01","영업/정상","01","영업","","","","","","66.00","122-813","서울특별시 은평구 갈현동 463-18","서울특별시 은평구 연서로21길 3, 1층 (갈현동)","03336","올뉴뷰티(올:new 뷰티)","2026-01-02 10:55:14","I","2026-01-04 00:20:12","일반이용업","192624.659056281","456885.882471005","일반이용업","0","0","0","0","0","0","4","","","","임대","0","0","0","N",
"29","이용업","05_19_01_P","3740000","3770000-203-2026-00001","2026-01-02","","01","영업/정상","01","영업","","","","","","0.00","442-853","경기도 수원시 팔달구 매산로2가 75-13","경기도 수원시 팔달구 매산로28번길 21-2, 1층 101호 (매산로2가)","16461","헤어컷트전문","2026-01-02 13:33:06","I","2026-01-04 00:20:12","일반이용업","200371.071914674","418320.475834333","일반이용업","0","0","0","0","0","0","2","","","","","0","0","0","N",
"30","이용업","05_19_01_P","5380000","5380000-203-2019-00007","2019-06-20","","01","영업/정상","01","영업","","","","","","6.60","626-848","경상남도 양산시 평산동 88-9 1층 104호","경상남도 양산시 평산8길 11, 1층 104호 (평산동)","50548","제이부띠","2026-01-02 16:40:04","U","2026-01-04 02:40:00","이용업 기타","395340.457553534","211372.588874993","이용업 기타","0","0","1","1","0","0","1","","","","","0","0","0","N",
"31","이용업","05_19_01_P","3670000","3670000-203-1978-00001","1978-05-31","","03","폐업","02","폐업","2026-01-02","","","","042 8228926","16.70","305-308","대전광역시 유성구 장대동 191-12","대전광역시 유성구 유성대로720번길 35 (장대동)","34172","신광이용원","2026-01-02 15:21:22","U","2026-01-04 02:40:00","일반이용업","229897.222166026","317458.052747689","일반이용업","0","0","0","0","0","0","3","","","","","0","0","0","N",
"32","이용업","05_19_01_P","4791000","4791000-203-2025-00001","2025-12-30","","01","영업/정상","01","영업","","","","","","49.69","","전북특별자치도 부안군 부안읍 봉덕리 790-10","전북특별자치도 부안군 부안읍 진성길 21-1","56315","염색이야기 부안점","2026-01-02 15:25:21","U","2026-01-04 02:40:00","이용업 기타","176240.210535246","247301.104656526","이용업 기타","1","0","0","0","0","0","2","","","","","1","0","0","N",
"33","이용업","05_19_01_P","3040000","3040000-203-2008-00003","2008-07-21","","03","폐업","02","폐업","2026-01-02","","","","0234360005","30.92","143-873","서울특별시 광진구 자양동 663-21 와이엠프라젠스파1층 116호","서울특별시 광진구 자양로5길 33, 1층 116호 (자양동, 와이엠프라젠스파)","05102","우정 이용원","2026-01-02 14:52:46","U","2026-01-04 02:40:00","일반이용업","207368.624495222","447632.296040333","일반이용업","0","0","1","1","0","0","3","","","","임대","0","0","0","N",
"34","이용업","05_19_01_P","4711000","4711000-203-1989-00002","1989-04-24","","03","폐업","02","폐업","2026-01-02","","","","063 546 2378","16.90","","전북특별자치도 김제시 죽산면 옥성리 241-61","전북특별자치도 김제시 죽산면 죽산로 381","54420","신흥이발관","2026-01-02 13:40:47","U","2026-01-04 02:40:00","일반이용업","185190.721687931","253582.855657189","일반이용업","0","0","0","0","0","0","2","","","","","0","0","0","N",
"35","이용업","05_19_01_P","3630000","3630000-203-2010-00009","2010-09-24","","03","폐업","02","폐업","2026-01-02","","","","062384 1100","6.00","506-813","광주광역시 광산구 우산동 1585-2","광주광역시 광산구 사암로216번길 10-11, 3층 (우산동, 싼타모호텔)","62355","싼타모","2026-01-02 11:10:41","U","2026-01-04 02:40:00","일반이용업","182574.242416471","184844.962799279","일반이용업","0","0","0","0","0","0","1","","","","","0","0","0","N",
"36","이용업","05_19_01_P","3160000","3160000-203-2020-00004","2020-07-16","","01","영업/정상","01","영업","","","","","","42.08","152-826","서울특별시 구로구 고척동 73-3 일이삼전자타운","서울특별시 구로구 경인로 393-7, 일이삼전자타운 2동 4113,4114,4115,4116호 (고척동)","08227","바버샵 브엘로","2026-01-02 17:03:51","U","2026-01-04 02:40:00","일반이용업","187826.698183821","443925.52468616","일반이용업","0","0","3","3","0","0","3","","","","","0","0","0","N",
"37","이용업","05_19_01_P","3470000","3470000-203-2026-00001","2026-01-05","","01","영업/정상","01","영업","","","","","","0.00","704-818","대구광역시 달서구 상인동 1529-6","대구광역시 달서구 상인서로10길 6, 2층 (상인동)","42812","스타클럽","2026-01-05 15:57:03","I","2026-01-07 00:20:36","일반이용업","339603.189697161","258252.452607591","일반이용업","3","1","2","2","0","0","2","","","","","0","0","0","N",
"38","이용업","05_19_01_P","3590000","3590000-203-2026-00001","2026-01-05","","01","영업/정상","01","영업","","","","","062 223 9876","151.63","501-040","광주광역시 동구 궁동 12-5","광주광역시 동구 제봉로 155-1, 2층 (궁동)","61474","맨포트 예술의거리점","2026-01-05 10:34:23","I","2026-01-07 00:20:36","일반이용업","192570.767539424","183550.930626187","일반이용업","0","0","0","0","0","0","7","","","","","0","0","0","N",
"39","이용업","05_19_01_P","4040000","4040000-203-2026-00001","2026-01-05","","01","영업/정상","01","영업","","","","","","70.62","465-150","경기도 하남시 망월동 834 미사강변 스카이폴리스","경기도 하남시 미사강변한강로 135, 미사강변 스카이폴리스 2층 가 234호 (망월동)","12902","루시바버스튜디오(Lucy BarBer Studio)","2026-01-05 17:01:43","I","2026-01-07 00:20:36","일반이용업","216846.891263183","452760.863180903","일반이용업","0","0","0","0","0","0","4","","","","","0","0","0","N",
"40","이용업","05_19_01_P","3090000","3090000-203-2026-00001","2026-01-05","","01","영업/정상","01","영업","","","","","","26.85","132-800","서울특별시 도봉구 도봉동 30-1 도봉한신아파트","서울특별시 도봉구 도봉로180나길 41, 도봉한신아파트 2층 213,214호 (도봉동)","01318","한신이발소","2026-01-05 09:51:17","I","2026-01-07 00:20:36","일반이용업","204169.847670316","464814.717432497","일반이용업","0","0","0","0","0","0","3","","","","","0","0","0","N",
"41","이용업","05_19_01_P","3530000","3530000-203-2026-00001","2026-01-05","","01","영업/정상","01","영업","","","","","","39.60","405-862","인천광역시 남동구 만수동 924-11","인천광역시 남동구 구월로336번길 60, 1층 101호 (만수동)","21535","한빛이용원","2026-01-05 14:35:32","I","2026-01-07 00:20:36","일반이용업","175831.686543034","438961.541810831","일반이용업","0","0","1","1","0","0","3","","","","","0","0","0","N",
"42","이용업","05_19_01_P","5180000","5180000-203-2020-00003","2020-03-09","","01","영업/정상","01","영업","","","","","","8.00","766-805","경상북도 영덕군 영덕읍 우곡리 205-5 동방사우나","경상북도 영덕군 영덕읍 영덕로 141, 동방사우나 2층","36439","동방사우나 이용원","2026-01-05 15:20:04","I","2026-01-07 00:20:36","일반이용업","412984.801540626","325574.773401527","일반이용업","0","0","0","0","0","0","2","","","","","0","0","0","N",
"43","이용업","05_19_01_P","3590000","3590000-203-2003-00013","2003-12-26","","03","폐업","02","폐업","2026-01-05","","","","062 2391359","52.00","501-838","광주광역시 동구 지산동 342-1 (지하1층)","광주광역시 동구 준법로 7-12 (지산동,(지하1층))","61441","법원구내이용원","2026-01-05 10:49:50","U","2026-01-07 02:40:00","일반이용업","193981.958754895","183484.202851849","일반이용업","6","1","0","0","1","1","4","","","","","0","0","0","N",
"44","이용업","05_19_01_P","3330000","3330000-203-1992-00420","1992-05-08","","03","폐업","02","폐업","2026-01-05","","","","051 7828530","18.18","612-831","부산광역시 해운대구 재송동 1084-7","부산광역시 해운대구 재송1로 80 (재송동)","48055","재송이용원","2026-01-05 09:50:41","U","2026-01-07 02:40:00","일반이용업","393489.624320556","189630.760461919","일반이용업","0","0","0","0","0","0","3","","","","","0","0","0","N",
"45","이용업","05_19_01_P","3200000","3200000-203-2019-00002","2019-03-12","","01","영업/정상","01","영업","","","","","028864822","16.00","151-867","서울특별시 관악구 신림동 409-370","서울특별시 관악구 신림로 241-1 (신림동)","08844","태후사랑","2026-01-05 09:46:46","U","2026-01-07 02:40:00","일반이용업","194125.585498395","441689.859478847","일반이용업","1","0","1","0","0","0","1","","","","","0","0","0","N",
