"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","자본금의규모","사업자등록번호",
"58","후원방문판매업체","08_26_05_P","6260000","20216260000301000169","2021-12-16","","03","폐업","4","폐업","2024-12-26","","","","","","49067","부산광역시 영도구 신선동*가  ***번지 *호","부산광역시 영도구 참샘길 ***(신선동*가)","","인셀덤 하이스트","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","386658.240999991","178562.311129022","후원방문판매업","0","3944600903",
"59","후원방문판매업체","08_26_05_P","6260000","20236260000301000030","2023-04-10","","03","폐업","4","폐업","2024-12-26","","","","","","46725","부산광역시 강서구 명지동  ****번지 *호","부산광역시 강서구 영강길 ** (명지동)","","인셀덤라온대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","375761.832842642","180425.798562505","후원방문판매업","0","2972801572",
"60","후원방문판매업체","08_26_05_P","6260000","20236260000301000031","2023-04-10","","03","폐업","4","폐업","2024-12-26","","","","","","48098","부산광역시 해운대구 중동  ***번지 *호","부산광역시 해운대구 달맞이길**번길 *-** (중동)","","인셀덤 래빗","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","397925.717643784","186531.006857331","후원방문판매업","0","1513001401",
"61","후원방문판매업체","08_26_05_P","6260000","20236260000301000032","2023-04-10","","03","폐업","4","폐업","2024-12-26","","","","","","47904","부산광역시 동래구 안락동  ****번지 *호 안락뜨란채*단지아파트 ***동 ****호","부산광역시 동래구 연안로 **, ***동 ****호 (안락동, 안락뜨란채*단지아파트)","","인셀덤 다온","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","392071.6197892","190245.241017626","후원방문판매업","0","5072933172",
"62","후원방문판매업체","08_26_05_P","6260000","20236260000301000042","2023-05-11","","03","폐업","4","폐업","2024-12-26","","","","","","46769","부산광역시 강서구 성북동  ***번지 *호","부산광역시 강서구 동선*안길 ** (성북동)","","뷰리풀 인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","366766.294684609","174031.386871248","후원방문판매업","0","1493801097",
"63","후원방문판매업체","08_26_05_P","6260000","20236260000301000045","2023-05-11","","03","폐업","4","폐업","2024-12-26","","","","","","47711","부산광역시 동래구 온천동  ***번지 *호 온천동유림노르웨이숲 상가동 ***호","부산광역시 동래구 중앙대로 ****, 상가동 *층 ***호 (온천동, 온천동 유림노르웨이숲)","","에이스챔피언 인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","389479.03847268","192774.203546772","후원방문판매업","0","7974900758",
"64","후원방문판매업체","08_26_05_P","6410000","20236410000301100259","2023-05-03","","01","영업/정상","2","영업","","","","","","","13438","경기도 성남시 중원구 여수동  ***번지 *호 유아이빌딩 ***호","경기도 성남시 중원구 양현로***번길 *-**, 유아이빌딩 ***호 (여수동)","","아모레퍼시픽 판교센터 분당점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","211235.798499247","435067.986805129","후원방문판매업","0","1754700819",
"65","후원방문판매업체","08_26_05_P","6410000","20236410000301100260","2023-05-03","","01","영업/정상","2","영업","","","","","","","13438","경기도 성남시 중원구 여수동  ***번지 *호 유아이빌딩 ***호","경기도 성남시 중원구 양현로***번길 *-**, 유아이빌딩 ***호 (여수동)","","아모레퍼시픽 판교센터 판교점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","211235.798499247","435067.986805129","후원방문판매업","0","2703001513",
"66","후원방문판매업체","08_26_05_P","6260000","20246260000301000014","2024-05-17","","03","폐업","4","폐업","2024-12-26","","","","","","48587","부산광역시 남구 용호동  ***번지 **호 한아름화장품","부산광역시 남구 동명로***번길 **, 한아름화장품 (용호동)","","희 대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","392585.999891803","181576.576227835","후원방문판매업","0","4407900368",
"67","후원방문판매업체","08_26_05_P","6260000","20246260000301000015","2024-05-17","","03","폐업","4","폐업","2024-12-26","","","","","","47546","부산광역시 연제구 거제동  ****번지 *호 거제유림노르웨이숲 ***동 ***호","부산광역시 연제구 거제대로***번길 **, ***동 ***호 (거제동, 거제 유림노르웨이숲)","","이삭대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","388603.816014289","188758.960850835","후원방문판매업","0","2425500827",
"68","후원방문판매업체","08_26_05_P","6260000","20246260000301000016","2024-05-17","","03","폐업","4","폐업","2024-12-23","","","","","","46590","부산광역시 북구 덕천동  ***번지 **호 덕천동롯데아파트 ***동 ****호","부산광역시 북구 함박봉로 **, ***동 ****호 (덕천동, 덕천동 롯데아파트)","","인셀덤 블루밍 대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","383957.97273875","191900.278381232","후원방문판매업","0","1904401140",
"69","후원방문판매업체","08_26_05_P","6260000","20246260000301000018","2024-05-17","","03","폐업","4","폐업","2024-12-26","","","","","","46016","부산광역시 기장군 정관읍 용수리 ****번지 *호 정관동일스위트*차 ***동 ***호","부산광역시 기장군 정관읍 정관*로 **, ***동 ***호 (정관동일스위트*차)","","루다(ruda)","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","397218.009053384","204903.216935529","후원방문판매업","0","",
"70","후원방문판매업체","08_26_05_P","6260000","20246260000301000019","2024-05-17","","03","폐업","4","폐업","2024-12-26","","","","","","47519","부산광역시 연제구 연산동  ***번지 *호","부산광역시 연제구 거제천로 ***, *층 (연산동)","","세라대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","389640.68855791","190063.168268908","후원방문판매업","0","8307100599",
"71","후원방문판매업체","08_26_05_P","6260000","20246260000301000010","2024-04-15","","03","폐업","4","폐업","2024-12-26","","","","","","47361","부산광역시 부산진구 범천동  ****번지 *호 범일역풍림아이원 ***동 ****호","부산광역시 부산진구 범일로***번길 **, ***동 ****호 (범천동, 범일역풍림아이원)","","화수분인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","387758.905527561","184731.35167587","후원방문판매업","0","2780303066",
"72","후원방문판매업체","08_26_05_P","6260000","20246260000301000011","2024-04-15","","03","폐업","4","폐업","2024-12-26","","","","","","46540","부산광역시 북구 화명동  ****번지 *호 대림쌍용강변타운 ***동 ****호","부산광역시 북구 화명신도시로 **, ***동 ****호 (화명동, 대림쌍용강변타운)","","디바인 인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","382735.813437591","193792.075387915","후원방문판매업","0","7345600681",
"73","후원방문판매업체","08_26_05_P","6260000","20206260000301000055","2020-03-19","","03","폐업","4","폐업","2024-12-26","","","","","","48084","부산광역시 해운대구 중동  ****번지 *호 이안해운대 ***동 ****호","부산광역시 해운대구 좌동순환로 *, 이안해운대 ***동 ****호 (중동)","","에스제이(SJ) 인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","397358.257473784","187467.92252695","후원방문판매업","0","1123331411",
"74","후원방문판매업체","08_26_05_P","6260000","20206260000301000058","2020-03-19","","03","폐업","4","폐업","2024-12-26","","","","","","46503","부산광역시 북구 구포동  ****번지 *호 명진빌딩","부산광역시 북구 낙동대로 ****, 명진빌딩 *층 (구포동)","","인셀덤 화영대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","381476.304010174","191056.212978695","후원방문판매업","0","5560401626",
"75","후원방문판매업체","08_26_05_P","6260000","20206260000301000061","2020-03-19","","03","폐업","4","폐업","2024-12-24","","","","","","46015","부산광역시 기장군 정관읍 매학리 ***번지 **호 네오코아빌딩 ***호","부산광역시 기장군 정관읍 정관*로 **, 네오코아빌딩 *층 ***호","","인셀덤 밀로","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","398065.799370034","204718.966111877","후원방문판매업","0","2052924933",
"76","후원방문판매업체","08_26_05_P","6260000","20206260000301000062","2020-03-19","","03","폐업","4","폐업","2024-12-26","","","","","","47871","부산광역시 동래구 사직동  ***번지 *호 사직*차삼정그린코아아파트 ***동 ****호","부산광역시 동래구 쇠미로**번길 **, ***동 ****호 (사직동, 사직*차삼정그린코아아파트)","","인셀덤 동영대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","387059.314304142","191163.822099192","후원방문판매업","0","2094000559",
"77","후원방문판매업체","08_26_05_P","6260000","20206260000301000123","2020-06-18","","03","폐업","4","폐업","2024-12-26","","","","","","48804","부산광역시 동구 초량동  ***번지 ***호","부산광역시 동구 망양로***번길 *, *층(초량동)","","인셀덤 핑클","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","385415.612044925","182270.239083565","후원방문판매업","0","4350401367",
"78","후원방문판매업체","08_26_05_P","6260000","20206260000301000124","2020-06-18","","03","폐업","4","폐업","2024-12-26","","","","","","47124","부산광역시 부산진구 초읍동  ***번지 **호","부산광역시 부산진구 새싹로 ***(초읍동)","","인셀덤 소영대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","386507.347669772","188476.867895868","후원방문판매업","0","2162118605",
"79","후원방문판매업체","08_26_05_P","6260000","20206260000301000126","2020-06-18","","03","폐업","4","폐업","2024-12-26","","","","","","49054","부산광역시 영도구 남항동*가  ***번지 **호","부산광역시 영도구 남항로**번길 * (남항동*가)","","인셀덤설피안","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","385857.065558036","178622.494910052","후원방문판매업","0","6330401700",
"80","후원방문판매업체","08_26_05_P","6260000","20206260000301000128","2020-06-18","","03","폐업","4","폐업","2024-12-26","","","","","","47266","부산광역시 부산진구 개금동  ***번지 **호 ***호","부산광역시 부산진구 백양대로***번길 **, *층 ***호 (개금동)","","인셀덤 솜결대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","383789.901488549","185666.977193577","후원방문판매업","0","1510201903",
"81","후원방문판매업체","08_26_05_P","6260000","20206260000301000130","2020-06-18","","03","폐업","4","폐업","2024-12-26","","","","","","47300","부산광역시 부산진구 부전동  ***번지 *호 더샵센트럴스타 B동 ****호","부산광역시 부산진구 중앙대로***번길 **, B동 ****호(부전동, 더샵 센트럴스타)","","인셀덤 원탑","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","387748.383011444","185533.437357236","후원방문판매업","0","3587200298",
"82","후원방문판매업체","08_26_05_P","6260000","20206260000301000077","2020-04-20","","03","폐업","4","폐업","2024-12-26","","","","","","46084","부산광역시 기장군 기장읍 시랑리 ***번지 *호 오시리아스위첸마티에 ***동 ****호","부산광역시 기장군 기장읍 동부산관광*로 **, 오시리아스위첸마티에 ***동 ****호","","인셀덤포유","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","","","후원방문판매업","0","8911701117",
"83","후원방문판매업체","08_26_05_P","6260000","20206260000301000082","2020-04-20","","03","폐업","4","폐업","2024-12-26","","","","","","49269","부산광역시 서구 암남동  ***번지 *호 송도의봄여름가을겨울 ****호","부산광역시 서구 충무대로 **, ****호(암남동, 송도의봄 여름 가을 겨울)","","인셀덤 부산센텀점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","384207.078246508","177378.090371603","후원방문판매업","0","5801600939",
"84","후원방문판매업체","08_26_05_P","6260000","20206260000301000093","2020-05-19","","03","폐업","4","폐업","2024-12-26","","","","","","47035","부산광역시 사상구 엄궁동  *번지 *호 무학다솜타운 ***동 ***호","부산광역시 사상구 대동로**번길 **, ***동 ***호 (엄궁동, 무학다솜타운)","","인셀덤 영궁지점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","380090.625681308","183596.254607248","후원방문판매업","0","3650101596",
"85","후원방문판매업체","08_26_05_P","6260000","20206260000301000086","2020-05-19","","03","폐업","4","폐업","2024-12-26","","","","","","48119","부산광역시 해운대구 우동  ****번지 *호 해운대두산위브더제니스 ***동 ****호","부산광역시 해운대구 마린시티*로 **, ***동 ****호 (우동, 해운대두산위브더제니스)","","인셀덤 미앤미 대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","395388.715069604","186268.853282623","후원방문판매업","0","2020474300",
"86","후원방문판매업체","08_26_05_P","6260000","20206260000301000087","2020-05-19","","03","폐업","4","폐업","2024-12-26","","","","","","46287","부산광역시 금정구 장전동  ***번지 *호 현대*차아파트 ****호","부산광역시 금정구 금강로***번길 **, ****호 (장전동, 현대*차아파트)","","인셀덤 금영지점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","389584.223084177","194835.616428647","후원방문판매업","0","2224800499",
"87","후원방문판매업체","08_26_05_P","6260000","20206260000301000091","2020-05-19","","03","폐업","4","폐업","2024-12-26","","","","","","48062","부산광역시 해운대구 우동  ****번지 *호 센텀삼환아파트 ***동 ***호","부산광역시 해운대구 해운대로 ***, ***동 ***호 (우동, 센텀삼환아파트)","","인셀덤 마리","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","394750.285555627","187922.429679282","후원방문판매업","0","7994600622",
"88","후원방문판매업체","08_26_05_P","6260000","20206260000301000096","2020-05-19","","03","폐업","4","폐업","2024-12-26","","","","","","48013","부산광역시 해운대구 반송동  ***번지 *호 엘아이지건영아파트 ***동 ***호","부산광역시 해운대구 신반송로 **, ***동 ***호 (반송동, 엘아이지건영아파트)","","인셀덤빛고을","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","396945.174511648","194127.707347447","후원방문판매업","0","3982400771",
"89","후원방문판매업체","08_26_05_P","6260000","20206260000301000097","2020-05-19","","03","폐업","4","폐업","2024-12-26","","","","","","47824","부산광역시 동래구 온천동  ****번지 **호 삼창주택 나동 ***호","부산광역시 동래구 중앙대로****번길 **, 나동 ***호 (온천동, 삼창주택)","","돈지대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","389000.846898821","191419.331735312","후원방문판매업","0","7331800973",
"90","후원방문판매업체","08_26_05_P","6260000","20206260000301000099","2020-05-19","","03","폐업","4","폐업","2024-12-26","","","","","","46551","부산광역시 북구 덕천동  ***번지 *호 기비골마을 ***동 ****호","부산광역시 북구 만덕*로***번길 **, ***동 ****호(덕천동, 기비골마을)","","인셀덤 구영대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","384161.334550309","192610.091217175","후원방문판매업","0","3021201378",
"91","후원방문판매업체","08_26_05_P","6260000","20206260000301000103","2020-05-19","","03","폐업","4","폐업","2024-12-26","","","","","","48204","부산광역시 수영구 망미동  ***번지 **호","부산광역시 수영구 과정로**번길 **-* (망미동)","","인셀덤구연대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","391754.499205367","188581.596252713","후원방문판매업","0","3741801055",
"92","후원방문판매업체","08_26_05_P","6260000","20206260000301000108","2020-05-19","","03","폐업","4","폐업","2024-12-26","","","","","","48420","부산광역시 남구 문현동  ****번지 *호 문현경동리인*단지 ***동 ****호","부산광역시 남구 문현로 **-*, ***동 ****호 (문현동, 문현경동리인 *단지)","","인셀덤 미플러스","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","388979.463155757","184327.177710761","후원방문판매업","0","1106807519",
"93","후원방문판매업체","08_26_05_P","6260000","20206260000301000112","2020-05-19","","03","폐업","4","폐업","2024-12-26","","","","","","48080","부산광역시 해운대구 좌동  ****번지 *호 경남아너스빌아파트 ***동 ***호","부산광역시 해운대구 좌동순환로**번길 **, ***동 ***호(좌동, 경남아너스빌아파트)","","소망 인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","397360.888425385","188634.485329744","후원방문판매업","0","5196300343",
"94","후원방문판매업체","08_26_05_P","6260000","20216260000301000125","2021-10-18","","03","폐업","4","폐업","2024-12-26","","","","","","47249","부산광역시 부산진구 범전동  ***번지 **호","부산광역시 부산진구 범전로**번길 **(범전동)","","인셀덤 소망 대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","388049.456258227","187162.347952296","후원방문판매업","0","8430601830",
"95","후원방문판매업체","08_26_05_P","6260000","20216260000301000128","2021-10-18","","03","폐업","4","폐업","2024-12-26","","","","","","48116","부산광역시 해운대구 중동  ***번지 *호","부산광역시 해운대구 청사포로 ***, *층(중동)","","인셀덤 청사 대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","399826.599200348","186985.906767099","후원방문판매업","0","5743500798",
"96","후원방문판매업체","08_26_05_P","6260000","20216260000301000130","2021-10-18","","03","폐업","4","폐업","2024-12-26","","","","","","47827","부산광역시 동래구 온천동  ****번지 *호 아림베르빌 ***호","부산광역시 동래구 미남로***번길 **, ***호(온천동, 아림베르빌)","","인셀덤 센스점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","388471.619888864","191278.621819212","후원방문판매업","0","2213255122",
"97","후원방문판매업체","08_26_05_P","6260000","20216260000301000135","2021-10-18","","03","폐업","4","폐업","2024-12-26","","","","","","48249","부산광역시 수영구 광안동  ***번지 *호 대곡타워아파트 ***호","부산광역시 수영구 광일로**번가길 **, ***호(광안동, 대곡타워아파트)","","인셀덤 환희 대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","392307.356341913","186912.059273658","후원방문판매업","0","6831301731",
"98","후원방문판매업체","08_26_05_P","6410000","20216410000301101057","2021-11-29","","03","폐업","4","폐업","2025-12-31","","","","","","16340","경기도 수원시 장안구 정자동  ***번지 *호 동신아파트 ***동 ****호","경기도 수원시 장안구 장안로 ***, ***동 ****호(정자동, 동신아파트)","","진 인셀덤 4호","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","199547.752860105","422317.63414653","후원방문판매업","0","7390802140",
"99","후원방문판매업체","08_26_05_P","6260000","20216260000301000154","2021-07-28","","03","폐업","4","폐업","2024-12-26","","","","","","47165","부산광역시 부산진구 개금동  *번지 *호 개금우드빌 ***동 ****호","부산광역시 부산진구 백양관문로**번길 **, ***동 ****호(개금동, 개금우드빌)","","인셀덤(미라클)","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","384540.565844585","186797.828624732","후원방문판매업","0","6716700445",
"100","후원방문판매업체","08_26_05_P","6260000","20206260000301000224","2020-12-17","","03","폐업","4","폐업","2024-12-26","","","","","","48247","부산광역시 수영구 광안동  ***번지 *호 힐탑더블시티 ***동 ****호","부산광역시 수영구 수영로 ***, ***동 ****호(광안동, 힐탑더블시티)","","인셀덤 엣지","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","392513.438617015","186921.717097945","후원방문판매업","0","7922901040",
"101","후원방문판매업체","08_26_05_P","6260000","20216260000301000140","2021-11-16","","03","폐업","4","폐업","2024-12-26","","","","","","46007","부산광역시 기장군 정관읍 모전리 ***번지 *호 이지더원*차아파트 ***동 ****호","부산광역시 기장군 정관읍 정관*로 *, ***동 ****호(이지 더원 *차 아파트)","","인셀덤 유","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","396661.136707393","205995.904169189","후원방문판매업","0","2720102390",
"102","후원방문판매업체","08_26_05_P","6260000","20216260000301000142","2021-11-16","","03","폐업","4","폐업","2024-12-26","","","","","","46521","부산광역시 북구 금곡동  ****번지 *호 율리마을주공아파트 ***동 ****호","부산광역시 북구 화명신도시로 ***, ***동 ****호(금곡동, 율리마을주공아파트)","","인셀덤 힐링대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","382937.351165395","195922.341071768","후원방문판매업","0","8942801349",
"103","후원방문판매업체","08_26_05_P","6260000","20216260000301000147","2021-11-16","","03","폐업","4","폐업","2024-12-26","","","","","","46505","부산광역시 북구 금곡동  **번지 *호 한솔아파트 상가동 ***호","부산광역시 북구 효열로***번길 **, 한솔아파트 상가동 ***호(금곡동)","","인셀덤 비너스 대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","383655.275869066","198192.954211848","후원방문판매업","0","5320302054",
"104","후원방문판매업체","08_26_05_P","6260000","20216260000301000148","2021-11-16","","03","폐업","4","폐업","2024-12-26","","","","","","48099","부산광역시 해운대구 중동  ****번지 *호","부산광역시 해운대구 해운대해변로***번길 **, *층(중동)","","비더원","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","397403.03176618","186810.003834272","후원방문판매업","0","5056500519",
"105","후원방문판매업체","08_26_05_P","6260000","20236260000301000022","2023-03-10","","03","폐업","4","폐업","2024-12-26","","","","","","48113","부산광역시 해운대구 좌동  ****번지 *호 경남선경아파트 ***동 ****호","부산광역시 해운대구 청사포로 **, ***동 ****호(좌동, 경남선경아파트)","","인셀덤아보대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","399061.678955014","187432.761894711","후원방문판매업","0","7231002420",
"106","후원방문판매업체","08_26_05_P","6260000","20226260000301000161","2022-06-20","","03","폐업","4","폐업","2024-12-26","","","","","","17111","경기도 용인시 기흥구 농서동  ***번지 *호 이너매스허브시티 ***호","경기도 용인시 기흥구 서천로***번길 **, 이너매스허브시티 ***호(농서동)","","인셀덤 핑클","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","206385.878379115","414188.190141484","후원방문판매업","0","4350401367",
"107","후원방문판매업체","08_26_05_P","6260000","20246260000301000001","2024-02-06","","03","폐업","4","폐업","2024-12-26","","","","","","46228","부산광역시 금정구 구서동  ****번지 *호","부산광역시 금정구 두실로**번길 ** (구서동)","","샤론 인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","389781.063914765","197546.6325986","후원방문판매업","0","4980702733",
"108","후원방문판매업체","08_26_05_P","6260000","20246260000301000006","2024-03-14","","03","폐업","4","폐업","2024-12-26","","","","","","48080","부산광역시 해운대구 좌동  ****번지 *호 경남아너스빌아파트 ***동 ****호","부산광역시 해운대구 좌동순환로**번길 **, ***동 ****호 (좌동, 경남아너스빌아파트)","","소니(Sony)인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","397360.888425385","188634.485329744","후원방문판매업","0","1160413661",
"109","후원방문판매업체","08_26_05_P","6260000","20246260000301000007","2024-03-14","","03","폐업","4","폐업","2024-12-26","","","","","","46009","부산광역시 기장군 정관읍 모전리 ***번지 *호 정관롯데캐슬*차 ***동 ***호","부산광역시 기장군 정관읍 정관*로 **, ***동 ***호 (정관롯데캐슬*차)","","리암(Liam)","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","397131.156786128","205668.847394978","후원방문판매업","0","7973501594",
"110","후원방문판매업체","08_26_05_P","6260000","20246260000301000008","2024-03-15","","03","폐업","4","폐업","2024-12-26","","","","","","46236","부산광역시 금정구 구서동  ***번지 **호 금강부광아파트 ***동 ****호","부산광역시 금정구 금샘로***번길 **, ***동 **층 ****호 (구서동, 금강부광아파트)","","인셀덤 유나","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","389591.648246545","196032.014868699","후원방문판매업","0","5522301566",
"111","후원방문판매업체","08_26_05_P","6260000","20206260000301000142","2020-07-15","","03","폐업","4","폐업","2024-12-24","","","","","","48109","부산광역시 해운대구 좌동  ****번지 *호 대우*차아파트 ***동 ****호","부산광역시 해운대구 좌동순환로 ***, ***동 ****호(좌동, 대우*차아파트)","","인셀덤더리즈","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","398866.445015219","188038.176406287","후원방문판매업","0","5961201269",
"112","후원방문판매업체","08_26_05_P","6260000","20206260000301000144","2020-07-15","","03","폐업","4","폐업","2024-12-26","","","","","","46229","부산광역시 금정구 구서동  ***번지 *호 비둘기연립 ***호","부산광역시 금정구 금강로 ***, *층 ***호(구서동, 비둘기연립)","","자은인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","389943.592261338","197469.352456376","후원방문판매업","0","2731001493",
"113","후원방문판매업체","08_26_05_P","6260000","20206260000301000152","2020-07-15","","03","폐업","4","폐업","2024-12-26","","","","","","47738","부산광역시 동래구 명륜동  ***번지 *호 건원안단테 ***호","부산광역시 동래구 삼성대길 **, ***호 (명륜동, 건원 안단테)","","이브인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","389580.883246764","191351.211265831","후원방문판매업","0","2050452299",
"114","후원방문판매업체","08_26_05_P","6260000","20206260000301000153","2020-07-15","","03","폐업","4","폐업","2024-12-26","","","","","","48119","부산광역시 해운대구 우동  ****번지 *호 마린시티두산위브포세이돈 ***동 ****호","부산광역시 해운대구 마린시티*로 **, ***동 ****호 (우동, 마린시티두산위브포세이돈)","","워너비 인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","395355.89450973","186074.803656796","후원방문판매업","0","4233800787",
