"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","자본금의규모","사업자등록번호",
"115","후원방문판매업체","08_26_05_P","6260000","20206260000301000156","2020-08-24","","03","폐업","4","폐업","2024-12-26","","","","","","46292","부산광역시 금정구 장전동  ***번지 ***호","부산광역시 금정구 장전로**번길 *, *층 (장전동)","","부산대인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","389970.007201781","194078.380643779","후원방문판매업","0","1313729312",
"116","후원방문판매업체","08_26_05_P","6260000","20206260000301000161","2020-08-24","","03","폐업","4","폐업","2024-12-24","","","","","","46760","부산광역시 강서구 신호동  ***번지 *호 부산신호사랑으로부영*차 ***동 ***호","부산광역시 강서구 신호산단*로 **, ***동 ***호 (신호동, 부산신호사랑으로부영*차)","","인셀덤서밋대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","370949.593168106","177996.73832378","후원방문판매업","0","1225217208",
"117","후원방문판매업체","08_26_05_P","6260000","20206260000301000162","2020-08-24","","03","폐업","4","폐업","2024-12-26","","","","","","47128","부산광역시 부산진구 연지동  ***번지 **호 래미안어반파크 ***동 ***호","부산광역시 부산진구 성지로 **, ***동 ***호(연지동, 래미안어반파크)","","인셀덤 다연대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","386782.740399224","188127.671595095","후원방문판매업","0","1013155141",
"118","후원방문판매업체","08_26_05_P","6260000","20206260000301000163","2020-08-24","","03","폐업","4","폐업","2024-12-26","","","","","","48413","부산광역시 남구 문현동  ***번지 *호 문현삼성힐타워 a동 ****호","부산광역시 남구 전포대로 **, a동 ****호 (문현동, 문현삼성힐타워)","","인셀덤 서면점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","388404.971429442","184193.746947289","후원방문판매업","0","6022405113",
"119","후원방문판매업체","08_26_05_P","6260000","20216260000301000084","2021-07-19","","03","폐업","4","폐업","2024-12-26","","","","","","48048","부산광역시 해운대구 재송동  ***번지 *호 센텀이편한세상아파트 ***동 ***호","부산광역시 해운대구 해운대로**번길 **, ***동 ***호(재송동, 센텀이편한세상아파트)","","와니 인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","392799.14993192","189781.150493082","후원방문판매업","0","8730601919",
"120","후원방문판매업체","08_26_05_P","6260000","20216260000301000087","2021-07-19","","03","폐업","4","폐업","2024-12-26","","","","","","49329","부산광역시 사하구 당리동  ***번지 *호 경성리치W아파트 ***호","부산광역시 사하구 낙동대로 ***, ***호(당리동, 경성리치W아파트)","","인셀덤 더발라","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","380112.660261235","180021.207743134","후원방문판매업","0","5762801228",
"121","후원방문판매업체","08_26_05_P","6260000","20216260000301000088","2021-07-19","","03","폐업","4","폐업","2024-12-26","","","","","","47747","부산광역시 동래구 명륜동  ***번지 *호 동래센트럴파크하이츠*차 ***동 ****호","부산광역시 동래구 문화로 **, ***동 ****호(명륜동, 동래센트럴파크하이츠*차)","","에이치앤비(H&B)","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","389886.666899557","192237.037051796","후원방문판매업","0","3320202118",
"122","후원방문판매업체","08_26_05_P","6260000","20216260000301000089","2021-07-19","","03","폐업","4","폐업","2024-12-26","","","","","","49108","부산광역시 영도구 동삼동  ***번지 **호 삼창파크타운 ***동 ***호","부산광역시 영도구 동삼로**번길 *, ***동 ***호(동삼동, 삼창파크타운)","","인셀덤오유재대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","388828.066972245","177152.221787204","후원방문판매업","0","5976300566",
"123","후원방문판매업체","08_26_05_P","6260000","20216260000301000091","2021-07-19","","03","폐업","4","폐업","2024-12-26","","","","","","48273","부산광역시 수영구 민락동  ***번지 **호","부산광역시 수영구 무학로**번길 **(민락동)","","인셀덤뮤즈","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","393052.299365518","187048.838087314","후원방문판매업","0","1020593606",
"124","후원방문판매업체","08_26_05_P","6260000","20216260000301000092","2021-07-19","","03","폐업","4","폐업","2024-12-26","","","","","","47764","부산광역시 동래구 명장동  ***번지 *호 명장경동아파트 ***동 ****호","부산광역시 동래구 명서로 ***, ***동 ****호(명장동, 명장경동아파트)","","인셀덤 늘푸른 대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","391328.065336967","191847.114440687","후원방문판매업","0","6532101322",
"125","후원방문판매업체","08_26_05_P","6260000","20216260000301000093","2021-07-19","","03","폐업","4","폐업","2024-12-26","","","","","","48296","부산광역시 수영구 광안동  ***번지 **호 양지코쿤빌**차 ***호","부산광역시 수영구 광안로**번길 **, ***호(광안동, 양지코쿤빌**차)","","인셀덤 베스트","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","392931.535262081","186116.056704433","후원방문판매업","0","4475000640",
"126","후원방문판매업체","08_26_05_P","6260000","20216260000301000109","2021-09-23","","03","폐업","4","폐업","2024-12-26","","","","","","47184","부산광역시 부산진구 부암동  ***번지 *호 서면동일파크스위트*차 ***동 ****호","부산광역시 부산진구 동평로 ***, ***동 ****호(부암동, 서면 동일파크스위트 *차)","","아이엠인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","386443.082710801","186982.262716528","후원방문판매업","0","4546500550",
"127","후원방문판매업체","08_26_05_P","6260000","20216260000301000110","2021-09-23","","03","폐업","4","폐업","2024-12-26","","","","","","47756","부산광역시 동래구 명륜동  ***번지 *호 명륜*차아이파크 ***동 ****호","부산광역시 동래구 시실로 **, ***동 ****호(명륜동, 명륜*차아이파크)","","인셀덤 수 대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","390171.205082822","192729.289976964","후원방문판매업","0","7440402464",
"128","후원방문판매업체","08_26_05_P","6260000","20216260000301000116","2021-09-23","","03","폐업","4","폐업","2024-12-26","","","","","","47610","부산광역시 연제구 연산동  ****번지 *호 연산더샵 ***동 ***호","부산광역시 연제구 연수로 ***, ***동 ***호(연산동, 연산더샵)","","모아인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","389833.928256576","188041.168925352","후원방문판매업","0","6213600879",
"129","후원방문판매업체","08_26_05_P","6260000","20216260000301000118","2021-09-23","","03","폐업","4","폐업","2025-12-26","","","","","","46054","부산광역시 기장군 기장읍 교리 *번지 *호 이진캐스빌블루*차아파트 ***동 ****호","부산광역시 기장군 기장읍 차성로 ***, ***동 ****호(이진캐스빌블루 *차아파트)","","인셀덤 크리스탈 대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","401883.263603118","197544.573617538","후원방문판매업","0","5684000856",
"130","후원방문판매업체","08_26_05_P","6260000","20216260000301000097","2021-08-18","","03","폐업","4","폐업","2024-12-26","","","","","","47529","부산광역시 연제구 거제동  ***번지 *호","부산광역시 연제구 아시아드대로 **, ***동 ***호 (거제동)","","인셀덤이너피스점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","","","후원방문판매업","0","3221501451",
"131","후원방문판매업체","08_26_05_P","6260000","20216260000301000100","2021-08-18","","03","폐업","4","폐업","2024-12-26","","","","","","48090","부산광역시 해운대구 우동  ****번지 *호 해운대엑소디움 ***동 ****호","부산광역시 해운대구 해운대해변로 **, ***동 ****호(우동, 해운대엑소디움)","","인셀덤 미엘","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","394649.504714752","186938.178511212","후원방문판매업","0","8151301833",
"132","후원방문판매업체","08_26_05_P","6260000","20216260000301000096","2021-08-18","","03","폐업","4","폐업","2024-12-26","","","","","","49343","부산광역시 사하구 괴정동  ****번지 **호","부산광역시 사하구 낙동대로***번길 **, *층 (괴정동)","","스텔라 인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","380761.659403694","179889.945663842","후원방문판매업","0","5970102251",
"133","후원방문판매업체","08_26_05_P","6260000","20216260000301000102","2021-08-18","","03","폐업","4","폐업","2024-12-26","","","","","","47179","부산광역시 부산진구 당감동  ***번지 *호 주공아파트*단지 ***동 ***호","부산광역시 부산진구 백양관문로 **, ***동 ***호 (당감동, 주공아파트*단지)","","인셀덤미송대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","385131.532073813","186553.007795525","후원방문판매업","0","7511201658",
"134","후원방문판매업체","08_26_05_P","6260000","20236260000301000005","2023-01-13","","03","폐업","4","폐업","2024-12-26","","","","","","48516","부산광역시 남구 용호동  ***번지 **호 엘지메트로시티 ***동 ****호","부산광역시 남구 분포로 ***, ***동 ****호(용호동, 엘지메트로시티)","","인셀덤 시크릿","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","392474.578116018","183052.21115244","후원방문판매업","0","8973701205",
"135","후원방문판매업체","08_26_05_P","6260000","20236260000301000006","2023-01-13","","03","폐업","4","폐업","2024-12-26","","","","","","49270","부산광역시 서구 암남동  ***번지 *호 비스타동원더비치테라스 ***동 ***호","부산광역시 서구 암남공원로 **, ***동 ***호 (암남동, 비스타동원더비치테라스)","","아셀","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","","","후원방문판매업","0","6782301776",
"136","후원방문판매업체","08_26_05_P","6260000","20236260000301000009","2023-01-13","","03","폐업","4","폐업","2024-12-26","","","","","","47393","부산광역시 부산진구 개금동  ***번지 *호 개금시영 **동 **호","부산광역시 부산진구 진사로**번길 **, **동 **호(개금동, 개금 시영)","","인셀덤 미라클 대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","383734.276148855","184897.302921948","후원방문판매업","0","2664700997",
"137","후원방문판매업체","08_26_05_P","6260000","20226260000301000152","2022-12-09","","03","폐업","4","폐업","2024-12-26","","","","","","47138","부산광역시 부산진구 부암동  ***번지 **호","부산광역시 부산진구 동평로***번길 **-*(부암동)","","인셀덤 미팅대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","386025.279964513","187342.050915577","후원방문판매업","0","7143801168",
"138","후원방문판매업체","08_26_05_P","6260000","20216260000301000064","2021-05-17","","03","폐업","4","폐업","2024-12-26","","","","","","47317","부산광역시 부산진구 전포동  ***번지 **호","부산광역시 부산진구 황령대로**번길 **, *층 (전포동)","","인셀덤 수련 대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","","","후원방문판매업","0","7501301759",
"139","후원방문판매업체","08_26_05_P","6260000","20216260000301000066","2021-05-17","","03","폐업","4","폐업","2024-12-26","","","","","","47717","부산광역시 동래구 온천동  ****번지 *호 일신빌라 ***호","부산광역시 동래구 우장춘로**번길 **, ***호 (온천동, 일신빌라)","","인셀덤 보나 대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","388359.81827068","192513.903198225","후원방문판매업","0","8940601731",
"140","후원방문판매업체","08_26_05_P","6260000","20216260000301000068","2021-05-17","","03","폐업","4","폐업","2024-12-26","","","","","","48454","부산광역시 남구 대연동  ****번지 *호 대연롯데캐슬레전드 ***동 ****호","부산광역시 남구 수영로 ***, ***동 ****호 (대연동, 대연롯데캐슬레전드)","","더하이(The High)","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","389619.893354186","183934.768044019","후원방문판매업","0","8223600845",
"141","후원방문판매업체","08_26_05_P","6260000","20216260000301000073","2021-06-16","","03","폐업","4","폐업","2024-12-26","","","","","","48119","부산광역시 해운대구 우동  ****번지 *호 해운대두산위브더제니스 ***동 ****호","부산광역시 해운대구 마린시티*로 **, ***동 ****호 (우동, 해운대두산위브더제니스)","","인셀덤 엘리(Incellderm-eli)","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","395388.715069604","186268.853282623","후원방문판매업","0","1801601719",
"142","후원방문판매업체","08_26_05_P","6260000","20216260000301000074","2021-06-16","","03","폐업","4","폐업","2024-12-26","","","","","","48298","부산광역시 수영구 광안동  ****번지 *호 부산광안동쌍용예가디오션 ***동 ***호","부산광역시 수영구 광안로 **, ***동 ***호(광안동, 부산 광안동 쌍용 예가 디 오션)","","인셀덤홀릭","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","392679.027322564","186060.147155193","후원방문판매업","0","3246800323",
"143","후원방문판매업체","08_26_05_P","6260000","20216260000301000078","2021-06-16","","03","폐업","4","폐업","2024-12-26","","","","","","46016","부산광역시 기장군 정관읍 용수리 ****번지 *호 정관동일스위트*차 ***동 ***호","부산광역시 기장군 정관읍 정관*로 **, ***동 ***호(정관동일스위트*차)","","슈퍼인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","397218.009053384","204903.216935529","후원방문판매업","0","2230862696",
"144","후원방문판매업체","08_26_05_P","6260000","20206260000301000177","2020-09-21","","03","폐업","4","폐업","2024-12-26","","","","","","46009","부산광역시 기장군 정관읍 모전리 ***번지 *호 정관롯데캐슬*차 ***동 ****호","부산광역시 기장군 정관읍 정관*로 **, ***동 ****호 (정관롯데캐슬*차)","","인셀덤 남달라","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","397131.156786128","205668.847394978","후원방문판매업","0","3311801247",
"145","후원방문판매업체","08_26_05_P","6260000","20206260000301000178","2020-09-21","","03","폐업","4","폐업","2024-12-26","","","","","","46233","부산광역시 금정구 구서동  ****번지 *호 롯데캐슬골드*단지","부산광역시 금정구 금강로 ***, ***동 ****호 (구서동, 롯데캐슬골드*단지)","","인셀덤박","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","390044.982846567","196654.519868384","후원방문판매업","0","8245500411",
"146","후원방문판매업체","08_26_05_P","6260000","20206260000301000193","2020-11-18","","03","폐업","4","폐업","2024-12-26","","","","","","46700","부산광역시 강서구 대저*동  ****번지 *호 *동 ***호","부산광역시 강서구 평강로***번길 ***, *층 ***호 (대저*동)","","환신 인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","377077.268394802","192877.801158018","후원방문판매업","0","8620801719",
"147","후원방문판매업체","08_26_05_P","6260000","20206260000301000196","2020-11-18","","03","폐업","4","폐업","2024-12-26","","","","","","46602","부산광역시 북구 만덕동  ***번지 *호 벽산라인타운 ***동 ***호","부산광역시 북구 덕천로 ***, ***동 ***호 (만덕동, 벽산라인타운)","","윤진 인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","384257.067576796","191991.025225857","후원방문판매업","0","6061680201",
"148","후원방문판매업체","08_26_05_P","6260000","20206260000301000197","2020-11-18","","03","폐업","4","폐업","2024-12-26","","","","","","47885","부산광역시 동래구 낙민동  ***번지 *호 동래꿈에그린아파트 ***동 ****호","부산광역시 동래구 온천천로***번길 **, 동래꿈에그린아파트 ***동 ****호 (낙민동)","","빛이 인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","390304.544719389","190552.782902259","후원방문판매업","0","2020594676",
"149","후원방문판매업체","08_26_05_P","6260000","20206260000301000198","2020-11-18","","03","폐업","4","폐업","2024-12-26","","","","","","46232","부산광역시 금정구 구서동  ****번지 *호 롯데캐슬골드*단지 ***동 ****호","부산광역시 금정구 금강로 ***, ***동 ****호 (구서동, 롯데캐슬골드*단지)","","인셀덤안나(Incellderm Anna)","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","389798.560167452","196667.692411609","후원방문판매업","0","8031301373",
"150","후원방문판매업체","08_26_05_P","6260000","20206260000301000200","2020-11-18","","03","폐업","4","폐업","2024-12-26","","","","","","48275","부산광역시 수영구 민락동  ***번지 **호 수영만아이파크 ***A동 ****호","부산광역시 수영구 광안해변로 ***, ***A동 ****호 (민락동, 수영만 아이파크)","","인셀덤리치","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","393966.608796334","186847.547423394","후원방문판매업","0","6896800308",
"151","후원방문판매업체","08_26_05_P","6260000","20226260000301000129","2022-10-14","","03","폐업","4","폐업","2024-12-26","","","","","","48063","부산광역시 해운대구 우동  ****번지 *호 해운대자이*차 ***동 ****호","부산광역시 해운대구 해운대로***번길 ***, ***동 ****호(우동, 해운대자이*차)","","더룩스","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","395278.275433276","187597.676291282","후원방문판매업","0","8313401072",
"152","후원방문판매업체","08_26_05_P","6260000","20226260000301000130","2022-10-14","","03","폐업","4","폐업","2024-12-26","","","","","","49350","부산광역시 사하구 괴정동  ***번지 **호","부산광역시 사하구 사하로***번길 **-*, *층(괴정동)","","인셀규나","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","382010.159833897","179786.824449391","후원방문판매업","0","1584200861",
"153","후원방문판매업체","08_26_05_P","6260000","20226260000301000132","2022-10-14","","03","폐업","4","폐업","2024-12-26","","","","","","47501","부산광역시 연제구 거제동  ***번지 **호","부산광역시 연제구 아시아드대로 **, *층(거제동)","","호야 인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","388149.605966881","190171.030379483","후원방문판매업","0","1161808035",
"154","후원방문판매업체","08_26_05_P","6260000","20226260000301000134","2022-10-14","","03","폐업","4","폐업","2024-12-26","","","","","","46076","부산광역시 기장군 기장읍 내리 ***번지 *호 동부산동원로얄듀크 ***동 ****호","부산광역시 기장군 기장읍 기장대로 **, ***동 ****호 (동부산 동원로얄듀크)","","인셀덤 노블","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","400777.738090622","191585.306003817","후원방문판매업","0","3092034690",
"155","후원방문판매업체","08_26_05_P","6260000","20226260000301000135","2022-10-14","","03","폐업","4","폐업","2024-12-26","","","","","","46303","부산광역시 금정구 부곡동  ***번지 *호 평화빌라 ***호","부산광역시 금정구 동부곡로**번길 **, ***호(부곡동, 평화빌라)","","아름(인셀덤)","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","390594.247896835","193773.372723125","후원방문판매업","0","5024863798",
"156","후원방문판매업체","08_26_05_P","6260000","20226260000301000136","2022-10-14","","03","폐업","4","폐업","2024-12-26","","","","","","46024","부산광역시 기장군 정관읍 달산리 ****번지 **호","부산광역시 기장군 정관읍 달산*길 **, *층","","미인","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","398372.288763503","204158.612280978","후원방문판매업","0","6290402559",
"157","후원방문판매업체","08_26_05_P","6260000","20226260000301000138","2022-10-14","","03","폐업","4","폐업","2024-12-26","","","","","","46569","부산광역시 북구 덕천동  ***번지 *호 부원아파트 ***호","부산광역시 북구 만덕*로**번길 **, ***호(덕천동, 부원아파트)","","슬기롭게 인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","384219.588876094","192216.111210428","후원방문판매업","0","2030796273",
"158","후원방문판매업체","08_26_05_P","6260000","20226260000301000146","2022-11-09","","03","폐업","4","폐업","2024-12-26","","","","","","47616","부산광역시 연제구 연산동  ****번지 ***호 ***호","부산광역시 연제구 연수로***번길 **, ***호(연산동)","","덤 대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","390808.690281905","187862.998018636","후원방문판매업","0","2911102202",
"159","후원방문판매업체","08_26_05_P","6260000","20226260000301000148","2022-11-09","","03","폐업","4","폐업","2024-12-26","","","","","","46962","부산광역시 사상구 괘법동  ***번지 *호 괘법엘에이치아파트 ***동 ****호","부산광역시 사상구 광장로**번길 **, ***동 ****호(괘법동, 괘법엘에이치아파트)","","인셀덤사파이어대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","380335.44278277","187041.949738398","후원방문판매업","0","6191276909",
"160","후원방문판매업체","08_26_05_P","6260000","20226260000301000112","2022-09-22","","03","폐업","4","폐업","2024-12-26","","","","","","49265","부산광역시 서구 암남동  **번지 *호 송도힐타운 ***호","부산광역시 서구 천해로**번라길 **, ***호(암남동, 송도힐타운)","","오페라(인셀덤)","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","384035.736523383","177581.098520858","후원방문판매업","0","2900502469",
"161","후원방문판매업체","08_26_05_P","6260000","20226260000301000109","2022-09-22","","03","폐업","4","폐업","2024-12-26","","","","","","47552","부산광역시 연제구 연산동  ****번지 *호 연산동일동미라주더스타 ***동 ***호","부산광역시 연제구 반송로 **, ***동 ***호 (연산동, 연산동 일동 미라주 더 스타)","","아리아","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","390141.062134838","189907.233037021","후원방문판매업","0","7695100722",
"162","후원방문판매업체","08_26_05_P","6260000","20226260000301000113","2022-09-22","","03","폐업","4","폐업","2024-12-26","","","","","","48587","부산광역시 남구 용호동  ***번지 *호","부산광역시 남구 동명로***번길 **(용호동)","","인셀덤 산토스 대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","392583.520842124","181679.395289308","후원방문판매업","0","8961102138",
"163","후원방문판매업체","08_26_05_P","6260000","20226260000301000116","2022-09-22","","03","폐업","4","폐업","2024-12-26","","","","","","46230","부산광역시 금정구 구서동  ***번지 **호","부산광역시 금정구 두실로*번길 **(구서동)","","인셀덤-고운대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","390158.639046586","197289.56477846","후원방문판매업","0","4361901627",
"164","후원방문판매업체","08_26_05_P","6260000","20226260000301000117","2022-09-22","","03","폐업","4","폐업","2024-12-26","","","","","","47553","부산광역시 연제구 연산동  ****번지 *호 연산자이 **호","부산광역시 연제구 과정로***번길 **, ***동 **층 **호 (연산동, 연산 자이)","","어썸리본","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","390224.494560145","189699.260181384","후원방문판매업","0","1360380454",
"165","후원방문판매업체","08_26_05_P","6260000","20226260000301000118","2022-09-22","","03","폐업","4","폐업","2024-12-26","","","","","","46276","부산광역시 금정구 부곡동  ***번지 *호 부곡쌍용아파트 ***동 ****호","부산광역시 금정구 수림로 **, ***동 ****호(부곡동, 부곡쌍용아파트)","","화양연화","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","390130.993591859","195312.211870554","후원방문판매업","0","1025100652",
"166","후원방문판매업체","08_26_05_P","6260000","20226260000301000119","2022-09-22","","03","폐업","4","폐업","2024-12-26","","","","","","46993","부산광역시 사상구 주례동  ****번지 *호 경동리인 ***동 ****호","부산광역시 사상구 백양대로 ***, ***동 ****호(주례동, 경동 리인)","","인셀덤 RS MI","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","381875.291854681","185970.16991865","후원방문판매업","0","8072201663",
"167","후원방문판매업체","08_26_05_P","6260000","20226260000301000120","2022-09-22","","03","폐업","4","폐업","2024-12-26","","","","","","48453","부산광역시 남구 대연동  ****번지 *호 인셀덤","부산광역시 남구 못골로 **, 인셀덤 *층(대연동)","","더원","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","390070.071011178","183813.679901852","후원방문판매업","0","1096800568",
"168","후원방문판매업체","08_26_05_P","6260000","20226260000301000124","2022-09-22","","03","폐업","4","폐업","2024-12-26","","","","","","47801","부산광역시 동래구 칠산동  **번지 *호","부산광역시 동래구 칠산로 *(칠산동)","","인셀덤 로즈점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","390505.005390098","191860.57701526","후원방문판매업","0","1481102193",
"169","후원방문판매업체","08_26_05_P","6260000","20226260000301000125","2022-09-22","","03","폐업","4","폐업","2024-12-26","","","","","","48120","부산광역시 해운대구 우동  ****번지 *호 해운대아이파크 주*동 ***호","부산광역시 해운대구 마린시티*로 **, 주*동 ***호(우동, 해운대아이파크)","","인셀덤 하나","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","395164.437852508","186231.014715022","후원방문판매업","0","2212025718",
"170","후원방문판매업체","08_26_05_P","6260000","20216260000301000016","2021-02-19","","03","폐업","4","폐업","2024-12-26","","","","","","46014","부산광역시 기장군 정관읍 용수리 ****번지 *호 정관신동아파밀리에 ***동 ****호","부산광역시 기장군 정관읍 정관*로 **, ***동 ****호 (정관 신동아파밀리에)","","리만 리온(Reon)","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","397794.013804497","205090.044718019","후원방문판매업","0","4394000669",
"171","후원방문판매업체","08_26_05_P","6260000","20216260000301000018","2021-02-19","","03","폐업","4","폐업","2024-12-26","","","","","","46016","부산광역시 기장군 정관읍 용수리 ****번지 *호 정관동일스위트*차 ***동 ****호","부산광역시 기장군 정관읍 정관*로 **, ***동 ****호 (정관동일스위트*차)","","다온 DAON","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","397218.009053384","204903.216935529","후원방문판매업","0","5815200599",
