"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사용목적","사용방법","월사용량","수용정원수","시설사용여부",
"1","특정고압가스업","09_28_14_P","3240000","2026324028812200001","2026-01-02","","01","영업/정상","BBBB","","","","","","","","","서울특별시 강동구 상일동 149 강동경희대학교병원","서울특별시 강동구 동남로 892, 강동경희대학교병원 (상일동)","05278","강동경희대학교병원","2026-01-02 09:10:40","I","2026-01-04 00:20:12","","213839.356195548","450118.261707983","환자 건강 회복용","기체산소","900","667","",
"2","특정고압가스업","09_28_14_P","4900000","2026490010212200001","2026-01-02","","01","영업/정상","BBBB","","","","","","","","","전라남도 화순군 청풍면 세청리 51-13","전라남도 화순군 청풍면 학포로 595-22","58161","청풍수산","2026-01-02 14:55:36","I","2026-01-04 00:20:12","","198639.614386202","154709.588146702","내수면 양식업","산소공급","10000","5","",
"3","특정고압가스업","09_28_14_P","5710000","2026573502412200001","2026-01-05","","01","영업/정상","BBBB","","","","","","","","","충청북도 청주시 청원구 오창읍 송대리 319-5","충청북도 청주시 청원구 오창읍 양청송대길 81","28118","㈜다쓰테크","2026-01-05 11:04:36","I","2026-01-07 00:20:36","","239454.723470499","357537.121290815","연료전지 시험용","실린더를 통하여 공급·사용","99","3","",
"4","특정고압가스업","09_28_14_P","4990000","2005499001102700003","2005-06-08","","03","폐업","2","폐지","2025-12-31","","","","5552600","","","전라남도 완도군 완도읍 죽청리 975","전라남도 완도군 완도읍 농공단지8길 11","","옥비수산","2026-01-05 16:15:36","U","2026-01-07 02:40:00","","175738.076909351","93600.869591978","어류양식","폐지","0","0","",
"5","특정고압가스업","09_28_14_P","4990000","2006499006602700022","2006-12-13","","03","폐업","2","폐지","2025-12-31","","","","061 5548153","","","전라남도 완도군 신지면 송곡리 665-19","전라남도 완도군 완도읍 완도로 1950","","한들수산","2026-01-05 16:33:47","U","2026-01-07 02:40:00","","178774.637367287","92545.7089766893","어류양식","어류양식","12000","3","",
"6","특정고압가스업","09_28_14_P","4990000","2008499006612200005","2008-05-30","","03","폐업","2","폐지","2025-12-31","","","","","","","전라남도 완도군 완도읍 죽청리 976","전라남도 완도군 완도읍 농공단지8길 7","","풍성수산","2026-01-05 17:37:43","U","2026-01-07 02:40:00","","175760.582685637","93563.8240804837","축양장 산소 공급","축양장 산소 공급","4900","1","",
"7","특정고압가스업","09_28_14_P","4990000","2007499006602700001","2007-01-18","","03","폐업","2","폐지","2025-12-31","","","","061 5540053","","","전라남도 완도군 완도읍 죽청리 974","전라남도 완도군 완도읍 농공단지8길 15","","해진수산","2026-01-05 16:21:21","U","2026-01-07 02:40:00","","175674.62","93605.0999999999","축양장 산소공급","폐지","15000","5","",
"8","특정고압가스업","09_28_14_P","4990000","2006499006602700010","2006-05-19","","03","폐업","2","폐지","2025-12-31","","","","061 5550019","","","전라남도 완도군 완도읍 죽청리 950","전라남도 완도군 완도읍 농공단지8길 31","","대해수산","2026-01-05 16:30:17","U","2026-01-07 02:40:00","","175624.173596514","93774.4614377916","어류양식","어류양식","12000","3","",
"9","특정고압가스업","09_28_14_P","4990000","2012499010112200008","2012-06-15","","01","영업/정상","1","사용중","","","","","","","","전라남도 완도군 완도읍 가용리 1090","전라남도 완도군 완도읍 농공단지9길 32-7","59108","하연수산","2026-01-05 16:18:01","U","2026-01-07 02:40:00","","175975.129765604","93207.3128789476","양식장내 산소공급","용해산소 공급","4944","1","",
"10","특정고압가스업","09_28_14_P","5670000","2018567056612200004","2018-11-09","","01","영업/정상","1","사용중","","","","","","","","경상남도 창원시 의창구 서상동 666-8 메트로병원","경상남도 창원시 의창구 평산로219번길 3, 메트로병원 (서상동)","51370","메트로병원","2026-01-05 16:14:53","U","2026-01-07 02:40:00","","347877.544329477","196928.54256609","의료용","용기보관실에서 배관 공급","760","273","",
"11","특정고압가스업","09_28_14_P","5670000","2018567056612200005","2018-11-23","","01","영업/정상","1","사용중","","","","","","","","경상남도 창원시 의창구 소답동 139-6 창산빌딩","경상남도 창원시 의창구 의안로2번길 31, 창산빌딩 (소답동)","51200","창원삼성요양병원","2026-01-05 16:10:42","U","2026-01-07 02:40:00","","348002.471405683","197039.718843936","의료용","용기보관실에서 배관 공급","900","199","",
"12","특정고압가스업","09_28_14_P","5670000","2018567056612200006","2018-12-03","","01","영업/정상","1","사용중","","","","","","","","경상남도 창원시 의창구 북면 내곡리 1234-1 시립창원요양병원","경상남도 창원시 의창구 북면 단내로 499-32, 시립창원요양병원","51104","의료법인 우산의료재단 시립창원요양병원","2026-01-05 16:09:52","U","2026-01-07 02:40:00","","343044.630952918","206692.031444682","의료용","용기보관실에서 배관 공급","625.6","175","",
"13","특정고압가스업","09_28_14_P","5670000","2019567056612200001","2019-05-09","","01","영업/정상","1","사용중","","","","","","","","경상남도 창원시 의창구 동정동 540 엘르메디의원","경상남도 창원시 의창구 서상로 1, 엘르메디의원 (동정동)","51191","엘르메디산부인과의원","2026-01-05 16:12:02","U","2026-01-07 02:40:00","","346755.050349948","197086.156944366","의료용","의료용 기체산소 용기 저장","800","15","",
"14","특정고압가스업","09_28_14_P","5670000","2013567046212200002","2013-11-06","","01","영업/정상","1","사용중","","","","","","","","경상남도 창원시 의창구 소계동 130-136","경상남도 창원시 의창구 의창대로 45 (소계동)","","의료법인 상원의료재단 창원힘찬병원","2026-01-05 16:08:15","U","2026-01-07 02:40:00","","346078.111882594","196360.555495786","환자 치료용 가스","환자 치료용 가스","640","123","",
"15","특정고압가스업","09_28_14_P","3150000","2026315025412200001","2026-01-07","","01","영업/정상","BBBB","","","","","","","","","서울특별시 강서구 마곡동 769","서울특별시 강서구 공항대로 165 (마곡동)","07800","부민 프레스티지 라이프케어센터 마곡의원","2026-01-07 20:12:41","I","2026-01-09 00:20:01","","184449.736274095","451015.135227088","의료용 산소 공급","의료용 기체 산소를 조정기 사용하여 감압 후 배관을 통하여 공급 함(공급 압력 : 0.4MPa)","480","50","",
"16","특정고압가스업","09_28_14_P","5400000","2026540011812200001","2026-01-06","","01","영업/정상","1","사용중","","","","","","","","경상남도 함안군 칠서면 계내리 68 (주)한국특강","경상남도 함안군 칠서면 공단동길 98 (주)한국특강","52002","(주)한국특수형강","2026-01-06 14:01:20","I","2026-01-09 00:20:01","","335152.272371973","208734.384934556","용접 및 절단 가공시 사용","저장소 -> 기화기 -> 감압장치 -> 사용처","2650","500","",
"17","특정고압가스업","09_28_14_P","3910000","2026391003512200001","2026-01-06","","01","영업/정상","BBBB","","","","","","","","","경기도 평택시 장당동 624","경기도 평택시 경기대로 1043, 에이동 2층 (장당동)","17784","티케이지솔믹스 주식회사","2026-01-06 16:53:13","I","2026-01-09 00:20:01","","205710.796824183","393222.102374022","공정용","공정용","376","5","",
"18","특정고압가스업","09_28_14_P","3910000","2026391003512200002","2026-01-06","","01","영업/정상","BBBB","","","","","","","","","경기도 평택시 장당동 624","경기도 평택시 경기대로 1043, 에이동 2층 (장당동)","17784","티케이지솔믹스 주식회사","2026-01-06 17:52:40","I","2026-01-09 00:20:01","","205710.796824183","393222.102374022","열처리용","열처리용","9000","5","",
"19","특정고압가스업","09_28_14_P","4490000","2026566002912200001","2026-01-06","","01","영업/정상","BBBB","","","","","","","","","충청남도 천안시 서북구 백석동 735 메르센코리아(주)","충청남도 천안시 서북구 3공단2로 53, 메르센코리아(주) (백석동)","31093","메르센코리아(주)","2026-01-06 15:52:18","I","2026-01-09 00:20:01","","210012.353587436","370523.460006432","제품생산용","별도의 저장실에 액화가스로 저장하여 기화 및 감압하여 사용","960","30","",
"20","특정고압가스업","09_28_14_P","5020000","2026503005112200001","2026-01-07","","01","영업/정상","1","사용중","","","","","","","","경상북도 포항시 남구 지곡동 713-3 포항산업과학연구원","경상북도 포항시 남구 지곡로127번길 65, 포항산업과학연구원 (지곡동)","37673","(재)포항산업과학연구원","2026-01-07 16:02:32","I","2026-01-09 00:20:01","","408943.676235704","282482.928214937","실험용","실험실내 공급","1","1","",
"21","특정고압가스업","09_28_14_P","5020000","2026503005112200002","2026-01-07","","01","영업/정상","1","사용중","","","","","","","","경상북도 포항시 남구 지곡동 713-3 포항산업과학연구원","경상북도 포항시 남구 지곡로127번길 65, 포항산업과학연구원 (지곡동)","37673","(재)포항산업과학연구원","2026-01-07 16:01:20","I","2026-01-09 00:20:01","","408943.676235704","282482.928214937","실험용","실험실내 공급","1","1","",
"22","특정고압가스업","09_28_14_P","5020000","2026503005112200003","2026-01-07","","01","영업/정상","1","사용중","","","","","","","","경상북도 포항시 남구 지곡동 713-3 포항산업과학연구원","경상북도 포항시 남구 지곡로127번길 65, 포항산업과학연구원 (지곡동)","37673","(재)포항산업과학연구원","2026-01-07 16:00:18","I","2026-01-09 00:20:01","","408943.676235704","282482.928214937","실험용","실험실내 공급","1","1","",
"23","특정고압가스업","09_28_14_P","4781000","2026478106212200001","2026-01-07","","01","영업/정상","BBBB","","","","","","","","","전북특별자치도 고창군 해리면 광승리 679-1 전북수산기술연구소","전북특별자치도 고창군 해리면 명사십리로 817, 전북수산기술연구소","56406","전북특별자치도수산기술연구소","2026-01-07 16:44:00","I","2026-01-09 00:20:01","","152555.426488188","223180.276541119","양식업","양식업","20000","5","",
"24","특정고압가스업","09_28_14_P","4990000","2019499015412200007","2019-05-27","","03","폐업","2","폐지","2025-12-17","","","","","","","전라남도 완도군 금일읍 척치리 1","전라남도 완도군 금일읍 신평길 216-23","59138","후경수산","2026-01-07 14:42:54","U","2026-01-09 02:40:00","","204236.995004015","95763.8327009732","어류 양식용","액화산소를 기화시켜 양식장에 공급","18000","12","",
"25","특정고압가스업","09_28_14_P","3930000","2015393028812200004","2015-05-08","","01","영업/정상","1","사용중","","","","","","","","경기도 안산시 단원구 성곡동 608-4","경기도 안산시 단원구 산단로35번길 210 (성곡동)","","코박메드(주)","2026-01-06 13:13:21","U","2026-01-09 02:40:00","","178942.897709188","422674.040183023","제품생산시 열처리용","공장내 실린더 카트리지번들 신설하여 저장용기에서 배관을 통해 수소가스 안정적 공급","2500","30","",
"26","특정고압가스업","09_28_14_P","3510500","2008351009212200005","2008-09-26","","03","폐업","2","폐지","2008-09-26","","","","","","","인천광역시 미추홀구 숭의동 159-14","인천광역시 미추홀구 미추로 53 (숭의동)","","폐지(규모미만)- 해오른병원","2026-01-07 10:01:06","U","2026-01-09 02:40:00","","168590.412147425","440336.482365203","의료용","환자 치료용","334","150","",
"27","특정고압가스업","09_28_14_P","3510500","2000351001302700006","1978-02-28","","03","폐업","2","폐지","2016-11-14","","","","032 8649111","","","인천광역시 미추홀구 학익동 587-37","인천광역시 미추홀구 독배로 267 (학익동)","","폐지_솔베이실리카코리아(주)","2026-01-07 09:59:13","U","2026-01-09 02:40:00","","","","0","0","0","0","",
"28","특정고압가스업","09_28_14_P","3510500","2008351009212200001","2008-07-24","","03","폐업","2","폐지","2008-07-24","","","","","","","인천광역시 미추홀구 도화동 818-6","","","폐지-(주)에스엔씨","2026-01-07 09:54:39","U","2026-01-09 02:40:00","","170159.257170192","441823.592970592","절단용","공업용","28","10","",
"29","특정고압가스업","09_28_14_P","3510500","2008351009212200002","2008-09-02","","03","폐업","2","폐지","2008-09-02","","","","","","","인천광역시 미추홀구 학익동 587-72","인천광역시 미추홀구 아암대로227번길 38 (학익동)","","폐지(규모미만)-성원자동차공업사","2026-01-07 09:54:15","U","2026-01-09 02:40:00","","167672.36655748","437841.319755629","용접","아세틸렌 용접","30","10","",
"30","특정고압가스업","09_28_14_P","3510500","2000351001302700016","1998-01-01","","03","폐업","2","폐지","2007-08-27","","","","03242502001","","","인천광역시 미추홀구 주안동 144-2","","","폐지-인천사랑병원","2026-01-07 09:57:36","U","2026-01-09 02:40:00","","","","0","0","0","0","",
"31","특정고압가스업","09_28_14_P","3510500","2003351006102700001","2003-01-13","","03","폐업","2","폐지","2003-01-13","","","","8312341","","","인천광역시 미추홀구 학익동 587-82","인천광역시 미추홀구 아암대로253번길 50 (학익동)","","폐지-태원자동차","2026-01-07 10:01:41","U","2026-01-09 02:40:00","","167753.976114357","437604.192928925","용접용","용기","500","0","",
"32","특정고압가스업","09_28_14_P","3510500","2004351006102700002","2004-03-16","","01","영업/정상","1","사용중","","","","","032 7600104","","","인천광역시 미추홀구 도화동 235","","","인천소방고등학교(구.도화기계공업고등학교)","2026-01-07 09:48:45","U","2026-01-09 02:40:00","","","","실습용","실습","90","1","",
"33","특정고압가스업","09_28_14_P","3510500","2006351007902700001","2006-11-03","","03","폐업","2","폐지","2016-12-11","","","","032 8639901","","","인천광역시 미추홀구 주안동 1381-1","인천광역시 미추홀구 방축로 332 (주안동)","","폐지_저장소 허가대상-(주)서울엔지니어링","2026-01-07 09:55:21","U","2026-01-09 02:40:00","","171526.113351627","441337.922781472","제품제조","0","0","0","",
"34","특정고압가스업","09_28_14_P","3510500","2006351007902700002","2006-11-14","","03","폐업","2","폐지","2006-11-14","","","","032 8647013","","","인천광역시 미추홀구 도화동 818-6","","","폐지_저장소 허가대상-(주)에스엔씨","2026-01-07 09:55:04","U","2026-01-09 02:40:00","","170159.257170192","441823.592970592","철강재의절단용","0","0","0","",
"35","특정고압가스업","09_28_14_P","5530000","2023553041512200005","2023-04-28","","01","영업/정상","1","사용중","","","","","","","","경기도 화성시 석우동 2-12","경기도 화성시 삼성1로4길 48 (석우동)","18449","피에스케이(주)","2026-01-07 10:27:07","U","2026-01-09 02:40:00","","206146.761483171","413384.698719882","반도체 장비 생산/연구용","반도체 장비 생산/연구용","3000","10","",
"36","특정고압가스업","09_28_14_P","3910000","2025391003512200007","2025-11-26","","01","영업/정상","1","사용중","","","","","","","","경기도 평택시 장당동 624","경기도 평택시 경기대로 1043 (장당동)","17784","티케이지솔믹스 주식회사","2026-01-06 18:04:03","U","2026-01-09 02:40:00","","205710.796824183","393222.102374022","공정용","공정용","376","5","",
"37","특정고압가스업","09_28_14_P","4080000","2024408026212200001","2024-02-15","","01","영업/정상","1","사용중","","","","","","","","경기도 안성시 미양면 개정리 758-1 (주)TCK개정공장","경기도 안성시 미양면 개정산업단지로 71 (주)TCK개정공장","17602","(주)티씨케이","2026-01-06 14:50:53","U","2026-01-09 02:40:00","","217556.980810338","384391.772472123","반도체용 원료","반도체용 SiNx 소성로 투입 원료로 액화 암모니아 사용","474","415","",
"38","특정고압가스업","09_28_14_P","3510500","2007351009212200001","2007-08-27","","03","폐업","2","폐지","2024-02-27","","","","","","","인천광역시 미추홀구 주안동 144-2 인천사랑병원","인천광역시 미추홀구 미추홀대로 726, 인천사랑병원 (주안동)","22135","폐지_인천사랑병원","2026-01-07 09:57:23","U","2026-01-09 02:40:00","","171680.617897735","440045.861100889","의료용","의료용","1353.84","50","",
"39","특정고압가스업","09_28_14_P","3300000","2022330011012200002","2022-07-22","","01","영업/정상","1","사용중","","","","","","","","부산광역시 동래구 사직동 101-4","부산광역시 동래구 여고로 5 (사직동)","47875","세인요양병원","2026-01-07 10:55:30","U","2026-01-09 02:40:00","","387962.708185615","190410.296696565","의료용","의료용","1500","100","",
"40","특정고압가스업","09_28_14_P","3740000","2024376003412200003","2024-11-21","","03","폐업","2","폐지","2026-01-07","","","","","","","경기도 수원시 권선구 권선동 1010-5","","","(주)만배건설","2026-01-07 17:57:16","U","2026-01-09 02:40:00","","202166.081666274","417796.518393441","산소 절단","산소 절단","150","6","",
"41","특정고압가스업","09_28_14_P","3200000","2026320028212200001","2026-01-08","","01","영업/정상","BBBB","","","","","","","","","서울특별시 관악구 봉천동 465-8","서울특별시 관악구 은천로 118, 옆 건설현장 (봉천동)","08743","(주)덕영토건","2026-01-08 16:16:26","I","2026-01-10 00:20:07","","195346.264484","442681.147192318","건설현장 용단 작업용","건설현장 용단 작업","400","10","",
"42","특정고압가스업","09_28_14_P","5670000","2025567056612211111","2025-09-10","","03","폐업","2","폐지","2025-09-10","","","","","","","경상남도 창원시 의창구 팔용동 42-4 (주)성호전자2공장","경상남도 창원시 의창구 사화로 144 (주)성호전자2공장 (팔용동)","51389","두성산업(주)","2026-01-08 13:21:33","U","2026-01-10 02:40:00","","347454.093324279","195699.405329038","X","전산오등록","400","0","",
"43","특정고압가스업","09_28_14_P","4470000","2021447010212200003","2021-06-02","","01","영업/정상","1","사용중","","","","","","","","충청북도 음성군 대소면 소석리 475-6","충청북도 음성군 대소면 대동로631번길 18-11","27677","(주)월드큐텍","2026-01-08 10:59:00","U","2026-01-10 02:40:00","","245346.361155183","383476.612747106","쿼츠부품생산공정","기화기 및 감압설비 설치로 사용처 압력에 맞게 공급","1200","15","",
"44","특정고압가스업","09_28_14_P","5020000","2026503005112200004","2026-01-09","","01","영업/정상","BBBB","","","","","","","","","경상북도 포항시 남구 장기면 양포리 9-38 구룡포수산업협동조합 활,선어 양포위판장","경상북도 포항시 남구 장기면 양포항길 71, 구룡포수산업협동조합 활,선어 양포위판장","37946","양포리 구룡포수산업협동조합활선어위판장","2026-01-09 11:18:49","I","2026-01-11 00:20:02","","427566.580363701","267594.387867071","양식용","양식용","500","3","",
"45","특정고압가스업","09_28_14_P","4080000","2017408020812200003","2017-08-25","","03","폐업","2","폐지","2026-01-05","","","","","","","경기도 안성시 미양면 개정리 758-1","경기도 안성시 미양면 개정산업단지로 71","","(주)티씨케이","2026-01-09 10:29:57","U","2026-01-11 02:40:00","","217556.980810338","384391.772472123","반도체 공정부품 분석","반도체 공정부품 분석

*대표자 성명 변경(2022.09.29.)
 변경전: 김영희, 타카하시히로시
 변경후: 김영희, 신히데오","5","280","",
"46","특정고압가스업","09_28_14_P","4960000","2026496011112200001","2026-01-12","","01","영업/정상","BBBB","","","","","","","","","전라남도 함평군 대동면 강운리 808-1","전라남도 함평군 대동면 함장로 1681","57140","강운양만","2026-01-12 21:00:55","I","2026-01-14 00:20:02","","158979.050471775","176522.545260989","장어양식장 산소공급","액화산소을 저장하여 대기식 기화기를 통해 기화시킨 후 감압하여 배관통해 사용처에 공급","20000","8","",
"47","특정고압가스업","09_28_14_P","3970000","2026397012212200001","2026-01-12","","01","영업/정상","BBBB","","","","","","","","","경기도 과천시 주암동 63-9 청기와빌라","경기도 과천시 장군마을길 34 (주암동, 청기와빌라)","13818","(주)진림건설","2026-01-12 13:32:47","I","2026-01-14 00:20:02","","202867.675898037","440076.985588996","가기설 (H-빔) 이음 및 절단작업","가기설 (H-빔) 이음 및 절단작업","672","10","",
"48","특정고압가스업","09_28_14_P","4090000","2026409048512200001","2026-01-13","","01","영업/정상","1","사용중","","","","","","","","경기도 김포시 양촌읍 학운리 4414","경기도 김포시 양촌읍 학운산단5로라길 16-8","10049","(주)천호케스팅","2026-01-13 15:58:58","I","2026-01-15 00:20:35","","","","금속절단용","배관을 통해 가스 공급","5000","2","",
"49","특정고압가스업","09_28_14_P","3230000","2026323031012200001","2026-01-12","","01","영업/정상","BBBB","","","","","","","","","서울특별시 송파구 오금동 126","서울특별시 송파구 마천로 164 (오금동)","05729","시그니처 요양병원","2026-01-13 09:07:23","I","2026-01-15 00:20:35","","212081.527971261","444598.236691622","의료용","의료용","0","155","",
"50","특정고압가스업","09_28_14_P","5710000","2025573002312200001","2025-08-27","","03","폐업","2","폐지","2025-11-26","","","","","","","충청북도 청주시 흥덕구 문암동 산 21","","","준영건설(주)","2026-01-13 09:58:01","U","2026-01-15 02:40:00","","240381.800125342","352462.671820275","공사용 빔 용접, 빔 절단","빔 용접, 빔 절단","1350","0","",
"51","특정고압가스업","09_28_14_P","4671000","2007467011202700001","2007-01-23","","01","영업/정상","1","사용중","","","","","063 4687006","","","전북특별자치도 군산시 소룡동 1588-4","전북특별자치도 군산시 동장산로 185 (소룡동)","54006","에이치디건설기계(주)","2026-01-13 21:31:03","U","2026-01-15 02:40:00","","162049.256090812","274237.884955552","엔진배기가스 분석실험용","배기가스분석실험장치","156","9","",
"52","특정고압가스업","09_28_14_P","4671000","2018467021312200006","2018-11-16","","01","영업/정상","1","사용중","","","","","","","","전북특별자치도 군산시 소룡동 1588-4","전북특별자치도 군산시 동장산로 185 (소룡동)","54006","에이치디건설기계(주)","2026-01-13 21:30:26","U","2026-01-15 02:40:00","","162049.256090812","274237.884955552","엔진 연구개발 실험용","엔진 연구개발 실험용","50","0","",
"53","특정고압가스업","09_28_14_P","5710000","2012441013312200003","2012-10-17","","01","영업/정상","1","사용중","","","","","","","","충청북도 청주시 흥덕구 옥산면 남촌리 1112-8 아이티엠반도체(주)","충청북도 청주시 흥덕구 옥산면 과학산업1로 82-7, 아이티엠반도체(주)","28122","(주)아이티엠반도체","2026-01-13 10:04:42","U","2026-01-15 02:40:00","","236334.271733835","355023.27314756","공정 산화방지용","(수소 8% + 질소 92%)로 공정투입","1","1","",
"54","특정고압가스업","09_28_14_P","3740000","2026377004112200001","2026-01-14","","01","영업/정상","BBBB","","","","","","","","","경기도 수원시 팔달구 인계동 1122-2","","","(주)만배건설","2026-01-14 13:32:46","I","2026-01-16 00:20:02","","203048.87533494","417833.219666928","건설현장 토목 설비","호스 연결 사용","50","0","",
"55","특정고압가스업","09_28_14_P","3670000","2026367021812200001","2026-01-14","","01","영업/정상","BBBB","","","","","","","","","대전광역시 유성구 구성동 23 한국과학기술원","대전광역시 유성구 대학로 291, 한국과학기술원 (구성동)","34141","한국과학기술원","2026-01-14 17:36:10","I","2026-01-16 00:20:02","","232585.551386827","318729.072756041","연구실험용","연구실험용","100","10","",
"56","특정고압가스업","09_28_14_P","4980000","2022498011612200002","2022-04-15","","01","영업/정상","1","사용중","","","","","","","","전라남도 장성군 삼계면 화산리 918-2","전라남도 장성군 삼계면 화산신기길 130-3","57234","제8623부대","2026-01-14 09:51:59","U","2026-01-16 02:40:00","","166229.62539315","197190.662796119","저장, 분출","저장, 분출","0","0","",
"57","특정고압가스업","09_28_14_P","4960000","2017496008512200003","2017-08-18","","01","영업/정상","1","사용중","","","","","","","","전라남도 함평군 대동면 강운리 508","","","학송양만","2026-01-14 14:57:18","U","2026-01-16 02:40:00","","159086.429240771","176510.796335273","뱀장어 양식내 산소공급","산소공급","5","2","",
"58","특정고압가스업","09_28_14_P","4490000","2026566002912200002","2026-01-15","","01","영업/정상","BBBB","","","","","","","","","충청남도 천안시 서북구 성거읍 오목리 248","충청남도 천안시 서북구 성거읍 성거산단2로 104","31043","(주)엘케이켐","2026-01-15 13:41:16","I","2026-01-17 00:20:02","","","","반도체 제품생산용","가스저장시설(수소 47ℓ용기 48병)에서 배관을 통해 제품 생산라인에 공급","800","60","",
"59","특정고압가스업","09_28_14_P","4580000","2026458012512200001","2026-01-15","","01","영업/정상","BBBB","","","","","","","","","충청남도 서천군 장항읍 장암리 78-6 (주)LG산전(장항공장)","충청남도 서천군 장항읍 화송길 123 (주)LG산전(장항공장)","33663","엘에스메탈(주)","2026-01-15 16:20:11","I","2026-01-17 00:20:02","","170336.729856345","278721.246826958","절제, 절단, 용접, 분석","연소","116000","50","",
"60","특정고압가스업","09_28_14_P","4580000","2008458006712200001","2008-01-23","","01","영업/정상","1","사용중","","","","","","","","충청남도 서천군 장항읍 장암리 78","충청남도 서천군 장항읍 화송길 123","","엘에스메탈(주)","2026-01-15 16:15:41","U","2026-01-17 02:40:00","","169852.702203698","278807.151062849","절제, 절단, 용접, 분석","연소","11600","50","",
"61","특정고압가스업","09_28_14_P","5670000","2016567056812200002","2016-08-26","","01","영업/정상","1","사용중","","","","","","","","경상남도 창원시 성산구 외동 851-5","경상남도 창원시 성산구 완암로 146 (외동)","","셰플러코리아 유한책임회사(창원3공장)","2026-01-15 15:37:24","U","2026-01-17 02:40:00","","352047.000781945","191681.042137077","열처리로용","용기->감압->배관->재감압->사용처","3960","100","",
"62","특정고압가스업","09_28_14_P","5670000","1992527002202700103","1992-10-30","","01","영업/정상","1","사용중","","","","","05500000000","","","경상남도 창원시 성산구 내동 452-9","경상남도 창원시 성산구 삼동로 90 (내동)","","셰플러코리아 유한책임회사(창원1공장)","2026-01-15 15:43:46","U","2026-01-17 02:40:00","","350573.43561531","192560.118150777","공업용","공정용","998","1000","",
